




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_background.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_background.txt - REFLIST (18060)	upload_1 (4777)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
modulation by host of viral release from host cell (GO:0044789)	5	5	1.32	+	3.78	1.14E-02
positive regulation of glutamine transport (GO:2000487)	1	1	.26	+	3.78	2.32E-01
negative regulation of glutamine transport (GO:2000486)	1	1	.26	+	3.78	2.32E-01
regulation of glutamine transport (GO:2000485)	2	2	.53	+	3.78	9.91E-02
positive regulation of metanephric glomerular visceral epithelial cell development (GO:2000478)	1	1	.26	+	3.78	2.32E-01
regulation of metanephric glomerular visceral epithelial cell development (GO:2000477)	1	1	.26	+	3.78	2.32E-01
positive regulation of peroxidase activity (GO:2000470)	2	2	.53	+	3.78	9.91E-02
low-density lipoprotein receptor particle metabolic process (GO:0032799)	1	1	.26	+	3.78	2.32E-01
negative regulation of glycogen (starch) synthase activity (GO:2000466)	1	1	.26	+	3.78	2.32E-01
positive regulation of astrocyte chemotaxis (GO:2000464)	1	1	.26	+	3.78	2.32E-01
catabolism by organism of protein in other organism involved in symbiotic interaction (GO:0052363)	1	1	.26	+	3.78	2.32E-01
catabolism by host of symbiont protein (GO:0052362)	1	1	.26	+	3.78	2.32E-01
DNA methylation on adenine (GO:0032775)	1	1	.26	+	3.78	2.32E-01
negative regulation of primary amine oxidase activity (GO:1902283)	1	1	.26	+	3.78	2.32E-01
negative regulation of monocyte extravasation (GO:2000438)	1	1	.26	+	3.78	2.32E-01
positive regulation of pancreatic amylase secretion (GO:1902278)	1	1	.26	+	3.78	2.32E-01
(R)-carnitine transmembrane transport (GO:1902270)	1	1	.26	+	3.78	2.32E-01
positive regulation of polyamine transmembrane transport (GO:1902269)	2	2	.53	+	3.78	9.91E-02
epidermal growth factor receptor signaling pathway via MAPK cascade (GO:0038029)	1	1	.26	+	3.78	2.32E-01
insulin receptor recycling (GO:0038020)	1	1	.26	+	3.78	2.32E-01
negative regulation of positive thymic T cell selection (GO:1902233)	1	1	.26	+	3.78	2.32E-01
Wnt receptor catabolic process (GO:0038018)	2	2	.53	+	3.78	9.91E-02
cellular response to freezing (GO:0071497)	1	1	.26	+	3.78	2.32E-01
steroid hormone receptor complex assembly (GO:0006463)	1	1	.26	+	3.78	2.32E-01
endocrine signaling (GO:0038002)	1	1	.26	+	3.78	2.32E-01
negative regulation of interleukin-4-mediated signaling pathway (GO:1902215)	1	1	.26	+	3.78	2.32E-01
cellular hypotonic salinity response (GO:0071477)	2	2	.53	+	3.78	9.91E-02
negative regulation of interleukin-2-mediated signaling pathway (GO:1902206)	1	1	.26	+	3.78	2.32E-01
regulation of interleukin-2-mediated signaling pathway (GO:1902205)	1	1	.26	+	3.78	2.32E-01
positive regulation of hepatocyte growth factor receptor signaling pathway (GO:1902204)	1	1	.26	+	3.78	2.32E-01
negative regulation of hepatocyte growth factor receptor signaling pathway (GO:1902203)	1	1	.26	+	3.78	2.32E-01
cellular response to glial cell derived neurotrophic factor (GO:1990792)	1	1	.26	+	3.78	2.32E-01
response to glial cell derived neurotrophic factor (GO:1990790)	1	1	.26	+	3.78	2.32E-01
valyl-tRNA aminoacylation (GO:0006438)	2	2	.53	+	3.78	9.91E-02
tyrosyl-tRNA aminoacylation (GO:0006437)	2	2	.53	+	3.78	9.91E-02
negative regulation of hh target transcription factor activity (GO:1990787)	1	1	.26	+	3.78	2.32E-01
negative regulation of timing of anagen (GO:0051886)	2	2	.53	+	3.78	9.91E-02
acrosome matrix dispersal (GO:0002077)	1	1	.26	+	3.78	2.32E-01
prostaglandin receptor internalization (GO:1990767)	1	1	.26	+	3.78	2.32E-01
mitotic sister chromatid biorientation (GO:1990758)	1	1	.26	+	3.78	2.32E-01
positive regulation of microglia differentiation (GO:0014008)	1	1	.26	+	3.78	2.32E-01
regulation of microglia differentiation (GO:0014006)	1	1	.26	+	3.78	2.32E-01
benzoyl-CoA metabolic process (GO:1901787)	1	1	.26	+	3.78	2.32E-01
primary miRNA methylation (GO:1990744)	1	1	.26	+	3.78	2.32E-01
inhibitory G protein-coupled receptor phosphorylation (GO:0002030)	1	1	.26	+	3.78	2.32E-01
basal protein localization (GO:0045175)	1	1	.26	+	3.78	2.32E-01
UV-damage excision repair, DNA incision (GO:1990731)	1	1	.26	+	3.78	2.32E-01
cellular response to high density lipoprotein particle stimulus (GO:0071403)	2	2	.53	+	3.78	9.91E-02
cellular response to oleic acid (GO:0071400)	1	1	.26	+	3.78	2.32E-01
primary miRNA modification (GO:1990729)	1	1	.26	+	3.78	2.32E-01
vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure (GO:0002014)	1	1	.26	+	3.78	2.32E-01
positive regulation of neutrophil mediated killing of gram-negative bacterium (GO:0070963)	1	1	.26	+	3.78	2.32E-01
positive regulation of neutrophil mediated killing of bacterium (GO:0070962)	1	1	.26	+	3.78	2.32E-01
regulation of ATP:ADP antiporter activity (GO:0070926)	1	1	.26	+	3.78	2.32E-01
transepithelial L-ascorbic acid transport (GO:0070904)	2	2	.53	+	3.78	9.91E-02
negative regulation by symbiont of host autophagy (GO:0140321)	1	1	.26	+	3.78	2.32E-01
negative regulation of connective tissue growth factor production (GO:0032683)	1	1	.26	+	3.78	2.32E-01
negative regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:1902163)	1	1	.26	+	3.78	2.32E-01
positive regulation of cyclic nucleotide-gated ion channel activity (GO:1902161)	1	1	.26	+	3.78	2.32E-01
termination of RNA polymerase III transcription (GO:0006386)	1	1	.26	+	3.78	2.32E-01
cellular response to cortisol stimulus (GO:0071387)	1	1	.26	+	3.78	2.32E-01
molybdenum incorporation into molybdenum-molybdopterin complex (GO:0018315)	1	1	.26	+	3.78	2.32E-01
behavioral response to nutrient (GO:0051780)	1	1	.26	+	3.78	2.32E-01
histone H4-K12 deacetylation (GO:1990679)	1	1	.26	+	3.78	2.32E-01
sebum secreting cell proliferation (GO:1990654)	1	1	.26	+	3.78	2.32E-01
cellular response to sucrose stimulus (GO:0071329)	1	1	.26	+	3.78	2.32E-01
cellular response to disaccharide stimulus (GO:0071324)	1	1	.26	+	3.78	2.32E-01
reproductive senescence (GO:1990636)	1	1	.26	+	3.78	2.32E-01
regulation of extrathymic T cell differentiation (GO:0033082)	1	1	.26	+	3.78	2.32E-01
purine nucleotide-sugar transmembrane transport (GO:0090480)	1	1	.26	+	3.78	2.32E-01
dibasic protein processing (GO:0090472)	1	1	.26	+	3.78	2.32E-01
mitochondrial tRNA wobble uridine modification (GO:0070899)	1	1	.26	+	3.78	2.32E-01
RNA polymerase III preinitiation complex assembly (GO:0070898)	1	1	.26	+	3.78	2.32E-01
positive regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:1901622)	1	1	.26	+	3.78	2.32E-01
mast cell homeostasis (GO:0033023)	1	1	.26	+	3.78	2.32E-01
Hsp90 deacetylation (GO:0070846)	1	1	.26	+	3.78	2.32E-01
polyubiquitinated misfolded protein transport (GO:0070845)	1	1	.26	+	3.78	2.32E-01
polyubiquitinated protein transport (GO:0070844)	1	1	.26	+	3.78	2.32E-01
misfolded protein transport (GO:0070843)	1	1	.26	+	3.78	2.32E-01
malonate catabolic process (GO:0090410)	1	1	.26	+	3.78	2.32E-01
negative regulation of hydrogen peroxide catabolic process (GO:2000296)	1	1	.26	+	3.78	2.32E-01
regulation of hydrogen peroxide catabolic process (GO:2000295)	2	2	.53	+	3.78	9.91E-02
regulation of myotome development (GO:2000290)	1	1	.26	+	3.78	2.32E-01
positive regulation of myotome development (GO:2000287)	1	1	.26	+	3.78	2.32E-01
negative regulation of actin cytoskeleton reorganization (GO:2000250)	1	1	.26	+	3.78	2.32E-01
regulation of circulating fibrinogen levels (GO:0044537)	1	1	.26	+	3.78	2.32E-01
snRNA methylation (GO:0106349)	1	1	.26	+	3.78	2.32E-01
negative regulation of pancreatic stellate cell proliferation (GO:2000230)	1	1	.26	+	3.78	2.32E-01
positive regulation of hypoxia-inducible factor-1alpha signaling pathway (GO:1902073)	1	1	.26	+	3.78	2.32E-01
protein deamination (GO:0018277)	1	1	.26	+	3.78	2.32E-01
regulation of transcription from RNA polymerase II promoter involved in spermatogenesis (GO:1902064)	1	1	.26	+	3.78	2.32E-01
positive regulation of glutamate metabolic process (GO:2000213)	1	1	.26	+	3.78	2.32E-01
isopeptide cross-linking (GO:0018262)	1	1	.26	+	3.78	2.32E-01
modulation of signal transduction in other organism (GO:0044501)	1	1	.26	+	3.78	2.32E-01
nucleotide-excision repair, preincision complex assembly (GO:0006294)	1	1	.26	+	3.78	2.32E-01
positive regulation of ribosomal small subunit export from nucleus (GO:2000208)	1	1	.26	+	3.78	2.32E-01
regulation of ribosomal small subunit export from nucleus (GO:2000206)	1	1	.26	+	3.78	2.32E-01
positive regulation of ribosomal subunit export from nucleus (GO:2000202)	1	1	.26	+	3.78	2.32E-01
regulation of ribosomal subunit export from nucleus (GO:2000200)	1	1	.26	+	3.78	2.32E-01
positive regulation of hematopoietic stem cell differentiation (GO:1902038)	1	1	.26	+	3.78	2.32E-01
L-histidine transport (GO:1902024)	1	1	.26	+	3.78	2.32E-01
UDP catabolic process (GO:0006256)	2	2	.53	+	3.78	9.91E-02
CTP catabolic process (GO:0006254)	1	1	.26	+	3.78	2.32E-01
cellular response to cobalt ion (GO:0071279)	1	1	.26	+	3.78	2.32E-01
homogentisate catabolic process (GO:1902000)	1	1	.26	+	3.78	2.32E-01
cellular oligosaccharide catabolic process (GO:0051692)	1	1	.26	+	3.78	2.32E-01
dCDP biosynthetic process (GO:0006240)	1	1	.26	+	3.78	2.32E-01
cellular oligosaccharide metabolic process (GO:0051691)	1	1	.26	+	3.78	2.32E-01
dTDP biosynthetic process (GO:0006233)	2	2	.53	+	3.78	9.91E-02
UDP biosynthetic process (GO:0006225)	1	1	.26	+	3.78	2.32E-01
cellular response to chromate (GO:0071247)	1	1	.26	+	3.78	2.32E-01
cellular response to folic acid (GO:0071231)	1	1	.26	+	3.78	2.32E-01
mitochondrial alpha-ketoglutarate transmembrane transport (GO:1990550)	1	1	.26	+	3.78	2.32E-01
negative regulation of formation of growth cone in injured axon (GO:1905943)	1	1	.26	+	3.78	2.32E-01
regulation of formation of growth cone in injured axon (GO:1905942)	1	1	.26	+	3.78	2.32E-01
negative regulation of acid-sensing ion channel activity (GO:1901586)	1	1	.26	+	3.78	2.32E-01
regulation of acid-sensing ion channel activity (GO:1901585)	2	2	.53	+	3.78	9.91E-02
positive regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching (GO:1905932)	1	1	.26	+	3.78	2.32E-01
fructose import across plasma membrane (GO:1990539)	1	1	.26	+	3.78	2.32E-01
positive regulation of acetylcholine biosynthetic process (GO:1905923)	1	1	.26	+	3.78	2.32E-01
regulation of acetylcholine biosynthetic process (GO:1905921)	1	1	.26	+	3.78	2.32E-01
negative regulation of norepinephrine uptake (GO:0051622)	1	1	.26	+	3.78	2.32E-01
regulation of norepinephrine uptake (GO:0051621)	2	2	.53	+	3.78	9.91E-02
positive regulation of cell differentiation involved in phenotypic switching (GO:1905917)	1	1	.26	+	3.78	2.32E-01
pyrimidine nucleotide import into mitochondrion (GO:1990519)	2	2	.53	+	3.78	9.91E-02
negative regulation of endothelial cell development (GO:1901551)	2	2	.53	+	3.78	9.91E-02
response to raffinose (GO:1901545)	1	1	.26	+	3.78	2.32E-01
phagosome-lysosome fusion involved in apoptotic cell clearance (GO:0090389)	1	1	.26	+	3.78	2.32E-01
phagolysosome assembly involved in apoptotic cell clearance (GO:0090387)	2	2	.53	+	3.78	9.91E-02
phagosome maturation involved in apoptotic cell clearance (GO:0090386)	2	2	.53	+	3.78	9.91E-02
positive regulation of mRNA modification (GO:0090366)	1	1	.26	+	3.78	2.32E-01
cellular organofluorine metabolic process (GO:0090346)	1	1	.26	+	3.78	2.32E-01
cellular organohalogen metabolic process (GO:0090345)	1	1	.26	+	3.78	2.32E-01
positive regulation of secretion of lysosomal enzymes (GO:0090340)	1	1	.26	+	3.78	2.32E-01
positive regulation of locomotion involved in locomotory behavior (GO:0090326)	1	1	.26	+	3.78	2.32E-01
positive regulation of chylomicron remnant clearance (GO:0090321)	1	1	.26	+	3.78	2.32E-01
positive regulation of chylomicron remodeling (GO:0090319)	1	1	.26	+	3.78	2.32E-01
regulation of chylomicron remodeling (GO:0090318)	1	1	.26	+	3.78	2.32E-01
positive regulation of ribonucleoprotein complex localization (GO:2000199)	1	1	.26	+	3.78	2.32E-01
ammonium import across plasma membrane (GO:0140157)	2	2	.53	+	3.78	9.91E-02
mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication (GO:0070716)	1	1	.26	+	3.78	2.32E-01
sodium-dependent organic cation transport (GO:0070715)	1	1	.26	+	3.78	2.32E-01
age-dependent response to reactive oxygen species (GO:0001315)	1	1	.26	+	3.78	2.32E-01
modification of synaptic structure, modulating synaptic transmission (GO:0099564)	1	1	.26	+	3.78	2.32E-01
positive regulation of protein homooligomerization (GO:0032464)	2	2	.53	+	3.78	9.91E-02
negative regulation of protein homooligomerization (GO:0032463)	1	1	.26	+	3.78	2.32E-01
negative regulation of protein oligomerization (GO:0032460)	1	1	.26	+	3.78	2.32E-01
positive regulation of presynaptic cytosolic calcium concentration (GO:0099533)	1	1	.26	+	3.78	2.32E-01
slow endocytic recycling (GO:0032458)	1	1	.26	+	3.78	2.32E-01
modulation by symbiont of host signal transduction pathway (GO:0052027)	1	1	.26	+	3.78	2.32E-01
fructose import (GO:0032445)	1	1	.26	+	3.78	2.32E-01
cAMP catabolic process (GO:0006198)	1	1	.26	+	3.78	2.32E-01
isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine (GO:0018153)	1	1	.26	+	3.78	2.32E-01
guanine salvage (GO:0006178)	1	1	.26	+	3.78	2.32E-01
adenine salvage (GO:0006168)	2	2	.53	+	3.78	9.91E-02
deoxyinosine catabolic process (GO:0006149)	2	2	.53	+	3.78	9.91E-02
inosine catabolic process (GO:0006148)	2	2	.53	+	3.78	9.91E-02
guanine catabolic process (GO:0006147)	2	2	.53	+	3.78	9.91E-02
negative regulation of dopamine uptake involved in synaptic transmission (GO:0051585)	1	1	.26	+	3.78	2.32E-01
histone H3-K4 acetylation (GO:0043973)	1	1	.26	+	3.78	2.32E-01
clathrin-dependent endocytosis of virus by host cell (GO:0075512)	1	1	.26	+	3.78	2.32E-01
negative regulation of 3'-UTR-mediated mRNA stabilization (GO:1905869)	1	1	.26	+	3.78	2.32E-01
positive regulation by host of symbiont catalytic activity (GO:0043947)	1	1	.26	+	3.78	2.32E-01
positive regulation of catalytic activity in other organism involved in symbiotic interaction (GO:0043946)	1	1	.26	+	3.78	2.32E-01
regulation of cellular response to gamma radiation (GO:1905843)	1	1	.26	+	3.78	2.32E-01
negative regulation of keratinocyte migration (GO:0051548)	1	1	.26	+	3.78	2.32E-01
negative regulation of elastin biosynthetic process (GO:0051545)	1	1	.26	+	3.78	2.32E-01
regulation of elastin biosynthetic process (GO:0051543)	1	1	.26	+	3.78	2.32E-01
elastin biosynthetic process (GO:0051542)	1	1	.26	+	3.78	2.32E-01
negative regulation of telomeric D-loop disassembly (GO:1905839)	2	2	.53	+	3.78	9.91E-02
regulation of telomeric D-loop disassembly (GO:1905838)	2	2	.53	+	3.78	9.91E-02
negative regulation of microtubule nucleation (GO:1905833)	1	1	.26	+	3.78	2.32E-01
U6 2'-O-snRNA methylation (GO:1990438)	1	1	.26	+	3.78	2.32E-01
snRNA 2'-O-methylation (GO:1990437)	1	1	.26	+	3.78	2.32E-01
modulation by host of viral transcription (GO:0043921)	2	2	.53	+	3.78	9.91E-02
superior temporal gyrus development (GO:0071109)	1	1	.26	+	3.78	2.32E-01
regulation of prostaglandin catabolic process (GO:1905828)	1	1	.26	+	3.78	2.32E-01
adenosine 3',5'-bisphosphate transmembrane transport (GO:0071106)	1	1	.26	+	3.78	2.32E-01
positive regulation of tetrapyrrole biosynthetic process (GO:1901465)	2	2	.53	+	3.78	9.91E-02
response to insulin-like growth factor stimulus (GO:1990418)	1	1	.26	+	3.78	2.32E-01
nitrogen catabolite activation of transcription (GO:0090294)	1	1	.26	+	3.78	2.32E-01
nitrogen catabolite regulation of transcription (GO:0090293)	1	1	.26	+	3.78	2.32E-01
positive regulation of protein glycosylation in Golgi (GO:0090284)	1	1	.26	+	3.78	2.32E-01
negative regulation of retinal ganglion cell axon guidance (GO:0090260)	1	1	.26	+	3.78	2.32E-01
convergent extension involved in somitogenesis (GO:0090246)	1	1	.26	+	3.78	2.32E-01
erythrophore differentiation (GO:0048773)	1	1	.26	+	3.78	2.32E-01
actin filament bundle distribution (GO:0070650)	1	1	.26	+	3.78	2.32E-01
positive regulation of lipoprotein transport (GO:0140077)	1	1	.26	+	3.78	2.32E-01
regulation of lipoprotein transport (GO:0140075)	1	1	.26	+	3.78	2.32E-01
negative regulation of smooth muscle cell-matrix adhesion (GO:2000098)	2	2	.53	+	3.78	9.91E-02
negative regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation (GO:2000080)	1	1	.26	+	3.78	2.32E-01
negative regulation of type B pancreatic cell development (GO:2000077)	1	1	.26	+	3.78	2.32E-01
stromal-epithelial cell signaling involved in prostate gland development (GO:0044345)	1	1	.26	+	3.78	2.32E-01
positive regulation of glycine import across plasma membrane (GO:1900925)	1	1	.26	+	3.78	2.32E-01
cytochrome c-heme linkage (GO:0018063)	1	1	.26	+	3.78	2.32E-01
UDP-glucuronate biosynthetic process (GO:0006065)	1	1	.26	+	3.78	2.32E-01
sorbitol catabolic process (GO:0006062)	1	1	.26	+	3.78	2.32E-01
sorbitol biosynthetic process (GO:0006061)	1	1	.26	+	3.78	2.32E-01
sorbitol metabolic process (GO:0006060)	2	2	.53	+	3.78	9.91E-02
N-acetylmannosamine metabolic process (GO:0006051)	1	1	.26	+	3.78	2.32E-01
mannosamine metabolic process (GO:0006050)	1	1	.26	+	3.78	2.32E-01
regulation of intraciliary retrograde transport (GO:1905799)	2	2	.53	+	3.78	9.91E-02
glucosamine catabolic process (GO:0006043)	2	2	.53	+	3.78	9.91E-02
glucosamine biosynthetic process (GO:0006042)	1	1	.26	+	3.78	2.32E-01
N-terminal peptidyl-glycine N-myristoylation (GO:0018008)	2	2	.53	+	3.78	9.91E-02
negative regulation of detection of mechanical stimulus involved in sensory perception of touch (GO:1905788)	1	1	.26	+	3.78	2.32E-01
regulation of detection of mechanical stimulus involved in sensory perception of touch (GO:1905787)	1	1	.26	+	3.78	2.32E-01
peptidyl-lysine N6-acetylation (GO:0018003)	2	2	.53	+	3.78	9.91E-02
removal of nonhomologous ends (GO:0000735)	1	1	.26	+	3.78	2.32E-01
strand displacement (GO:0000732)	1	1	.26	+	3.78	2.32E-01
mitotic cleavage furrow ingression (GO:1990386)	1	1	.26	+	3.78	2.32E-01
negative regulation of exonuclease activity (GO:1905778)	2	2	.53	+	3.78	9.91E-02
regulation of exonuclease activity (GO:1905777)	2	2	.53	+	3.78	9.91E-02
sno(s)RNA polyadenylation (GO:0071050)	1	1	.26	+	3.78	2.32E-01
anterograde dendritic transport of mitochondrion (GO:0098972)	1	1	.26	+	3.78	2.32E-01
inositol biosynthetic process (GO:0006021)	1	1	.26	+	3.78	2.32E-01
nuclear histone mRNA catabolic process (GO:0071045)	1	1	.26	+	3.78	2.32E-01
neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968)	1	1	.26	+	3.78	2.32E-01
negative regulation of cortisol secretion (GO:0051463)	1	1	.26	+	3.78	2.32E-01
meiotic DNA recombinase assembly (GO:0000707)	1	1	.26	+	3.78	2.32E-01
positive regulation of transforming growth factor beta1 activation (GO:1901394)	1	1	.26	+	3.78	2.32E-01
regulation of transforming growth factor beta1 activation (GO:1901392)	1	1	.26	+	3.78	2.32E-01
positive regulation of transforming growth factor beta activation (GO:1901390)	2	2	.53	+	3.78	9.91E-02
negative regulation of transforming growth factor beta activation (GO:1901389)	1	1	.26	+	3.78	2.32E-01
organic heteropentacyclic compound catabolic process (GO:1901377)	2	2	.53	+	3.78	9.91E-02
retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0098925)	1	1	.26	+	3.78	2.32E-01
response to phosphatidylethanolamine (GO:1905711)	1	1	.26	+	3.78	2.32E-01
response to cortisol (GO:0051414)	1	1	.26	+	3.78	2.32E-01
positive regulation of inhibitory synapse assembly (GO:1905704)	2	2	.53	+	3.78	9.91E-02
negative regulation of vasculature development involved in avascular cornea development in camera-type eye (GO:1901346)	1	1	.26	+	3.78	2.32E-01
