




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3142)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of cytosolic calcium ion concentration (GO:0007204)	2	2	1.35	+	1.48	3.91E-01
outer dynein arm assembly (GO:0036158)	1	1	.68	+	1.48	4.91E-01
phosphatidylinositol acyl-chain remodeling (GO:0036149)	2	2	1.35	+	1.48	3.91E-01
regulation of lysine biosynthetic process via aminoadipic acid (GO:1902986)	1	1	.68	+	1.48	4.91E-01
heme oxidation (GO:0006788)	1	1	.68	+	1.48	4.91E-01
porphyrin-containing compound catabolic process (GO:0006787)	1	1	.68	+	1.48	4.91E-01
base conversion or substitution editing (GO:0016553)	2	2	1.35	+	1.48	3.91E-01
protein autoprocessing (GO:0016540)	2	2	1.35	+	1.48	3.91E-01
protein localization to septin ring (GO:1902935)	2	2	1.35	+	1.48	3.91E-01
positive regulation of alcohol biosynthetic process (GO:1902932)	1	1	.68	+	1.48	4.91E-01
mitochondrial tRNA 3'-end processing (GO:1990180)	1	1	.68	+	1.48	4.91E-01
malonic acid transport (GO:1900752)	1	1	.68	+	1.48	4.91E-01
FAD biosynthetic process (GO:0006747)	1	1	.68	+	1.48	4.91E-01
NADP catabolic process (GO:0006742)	1	1	.68	+	1.48	4.91E-01
inulin catabolic process (GO:1902927)	1	1	.68	+	1.48	4.91E-01
inulin metabolic process (GO:1902926)	1	1	.68	+	1.48	4.91E-01
protein localization to actomyosin contractile ring (GO:1990179)	1	1	.68	+	1.48	4.91E-01
(R)-carnitine transport (GO:1900749)	1	1	.68	+	1.48	4.91E-01
SCF complex disassembly in response to cadmium stress (GO:1990171)	1	1	.68	+	1.48	4.91E-01
mitochondrial protein catabolic process (GO:0035694)	1	1	.68	+	1.48	4.91E-01
cellular response to drug (GO:0035690)	2	2	1.35	+	1.48	3.91E-01
triterpenoid metabolic process (GO:0006722)	1	1	.68	+	1.48	4.91E-01
protein localization to cell tip (GO:1990151)	1	1	.68	+	1.48	4.91E-01
galactose catabolic process via UDP-galactose (GO:0033499)	4	4	2.70	+	1.48	2.86E-01
positive regulation of nitric oxide biosynthetic process (GO:0045429)	1	1	.68	+	1.48	4.91E-01
regulation of nitric oxide biosynthetic process (GO:0045428)	2	2	1.35	+	1.48	3.91E-01
messenger ribonucleoprotein complex assembly (GO:1990120)	1	1	.68	+	1.48	4.91E-01
telomere maintenance in response to DNA damage (GO:0043247)	2	2	1.35	+	1.48	3.91E-01
RNA polymerase III assembly (GO:1990115)	2	2	1.35	+	1.48	3.91E-01
RNA polymerase II core complex assembly (GO:1990114)	1	1	.68	+	1.48	4.91E-01
RNA polymerase I assembly (GO:1990113)	1	1	.68	+	1.48	4.91E-01
regulation of secondary cell septum biogenesis (GO:1903395)	1	1	.68	+	1.48	4.91E-01
positive regulation of antisense RNA transcription (GO:0060196)	1	1	.68	+	1.48	4.91E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	2	2	1.35	+	1.48	3.91E-01
activation of adenylate cyclase activity (GO:0007190)	1	1	.68	+	1.48	4.91E-01
regulation of exocyst localization (GO:0060178)	2	2	1.35	+	1.48	3.91E-01
astral microtubule depolymerization (GO:0060172)	1	1	.68	+	1.48	4.91E-01
regulation of Golgi organization (GO:1903358)	1	1	.68	+	1.48	4.91E-01
regulation of nucleus organization (GO:1903353)	1	1	.68	+	1.48	4.91E-01
cell surface receptor signaling pathway (GO:0007166)	1	1	.68	+	1.48	4.91E-01
positive regulation of meiotic DNA double-strand break formation (GO:1903343)	1	1	.68	+	1.48	4.91E-01
regulation of fungal-type cell wall biogenesis (GO:0032995)	1	1	.68	+	1.48	4.91E-01
positive regulation of protein folding (GO:1903334)	1	1	.68	+	1.48	4.91E-01
xylulose 5-phosphate biosynthetic process (GO:1901159)	1	1	.68	+	1.48	4.91E-01
regulation of protein folding (GO:1903332)	1	1	.68	+	1.48	4.91E-01
very long-chain fatty acid catabolic process (GO:0042760)	2	2	1.35	+	1.48	3.91E-01
regulation of iron-sulfur cluster assembly (GO:1903329)	1	1	.68	+	1.48	4.91E-01
amino acid transmembrane import into vacuole (GO:0032975)	2	2	1.35	+	1.48	3.91E-01
amino acid export across plasma membrane (GO:0032973)	1	1	.68	+	1.48	4.91E-01
positive regulation of protein maturation (GO:1903319)	1	1	.68	+	1.48	4.91E-01
positive regulation of nitrogen cycle metabolic process (GO:1903316)	1	1	.68	+	1.48	4.91E-01
regulation of nitrogen cycle metabolic process (GO:1903314)	1	1	.68	+	1.48	4.91E-01
protein biotinylation (GO:0009305)	1	1	.68	+	1.48	4.91E-01
snRNA transcription (GO:0009301)	1	1	.68	+	1.48	4.91E-01
positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation (GO:0036086)	1	1	.68	+	1.48	4.91E-01
heme O biosynthetic process (GO:0048034)	1	1	.68	+	1.48	4.91E-01
heme o metabolic process (GO:0048033)	1	1	.68	+	1.48	4.91E-01
regulation of (1->3)-beta-D-glucan biosynthetic process (GO:0032953)	2	2	1.35	+	1.48	3.91E-01
regulation of (1->3)-beta-D-glucan metabolic process (GO:0032952)	2	2	1.35	+	1.48	3.91E-01
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	1	1	.68	+	1.48	4.91E-01
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	1	1	.68	+	1.48	4.91E-01
thiamine-containing compound catabolic process (GO:0042725)	1	1	.68	+	1.48	4.91E-01
inositol phosphate-mediated signaling (GO:0048016)	1	1	.68	+	1.48	4.91E-01
recruitment of mRNA capping enzyme to RNA polymerase II holoenzyme complex (GO:0036031)	1	1	.68	+	1.48	4.91E-01
protein localization to spindle microtubule (GO:1902889)	1	1	.68	+	1.48	4.91E-01
negative regulation of response to oxidative stress (GO:1902883)	1	1	.68	+	1.48	4.91E-01
glycosphingolipid biosynthetic process (GO:0006688)	2	2	1.35	+	1.48	3.91E-01
phosphorylation of RNA polymerase II C-terminal domain serine 5 residues (GO:0071620)	1	1	.68	+	1.48	4.91E-01
negative regulation of protein kinase activity by protein phosphorylation (GO:0100002)	1	1	.68	+	1.48	4.91E-01
microtubule organizing center localization (GO:0061842)	1	1	.68	+	1.48	4.91E-01
mannosyl diphosphorylinositol ceramide metabolic process (GO:0006676)	1	1	.68	+	1.48	4.91E-01
'de novo' pyridoxal 5'-phosphate biosynthetic process (GO:0036001)	1	1	.68	+	1.48	4.91E-01
sphingosine metabolic process (GO:0006670)	4	4	2.70	+	1.48	2.86E-01
phosphorylation of RNA polymerase II C-terminal domain serine 2 residues (GO:0071619)	1	1	.68	+	1.48	4.91E-01
posttranscriptional gene silencing (GO:0016441)	2	2	1.35	+	1.48	3.91E-01
phosphatidylserine catabolic process (GO:0006660)	2	2	1.35	+	1.48	3.91E-01
phosphatidylserine metabolic process (GO:0006658)	4	4	2.70	+	1.48	2.86E-01
unsaturated fatty acid biosynthetic process (GO:0006636)	1	1	.68	+	1.48	4.91E-01
negative regulation of mitotic spindle assembly checkpoint signaling (GO:0140499)	1	1	.68	+	1.48	4.91E-01
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	2	2	1.35	+	1.48	3.91E-01
N-terminal peptidyl-proline methylation (GO:0035568)	1	1	.68	+	1.48	4.91E-01
putrescine biosynthetic process from ornithine (GO:0033387)	1	1	.68	+	1.48	4.91E-01
pericentric heterochromatin organization (GO:0140462)	1	1	.68	+	1.48	4.91E-01
detection of misfolded protein (GO:0002236)	1	1	.68	+	1.48	4.91E-01
carnitine biosynthetic process (GO:0045329)	1	1	.68	+	1.48	4.91E-01
argininosuccinate metabolic process (GO:0000053)	1	1	.68	+	1.48	4.91E-01
urea cycle (GO:0000050)	2	2	1.35	+	1.48	3.91E-01
negative regulation of SNARE complex assembly (GO:0035544)	1	1	.68	+	1.48	4.91E-01
secretory granule organization (GO:0033363)	1	1	.68	+	1.48	4.91E-01
protein K29-linked ubiquitination (GO:0035519)	1	1	.68	+	1.48	4.91E-01
diadenosine polyphosphate catabolic process (GO:0015961)	1	1	.68	+	1.48	4.91E-01
regulation of G-quadruplex DNA binding (GO:1905493)	1	1	.68	+	1.48	4.91E-01
alpha-glucoside transport (GO:0000017)	1	1	.68	+	1.48	4.91E-01
diadenosine polyphosphate metabolic process (GO:0015959)	1	1	.68	+	1.48	4.91E-01
hypoxanthine salvage (GO:0043103)	1	1	.68	+	1.48	4.91E-01
proteasome localization (GO:0031144)	2	2	1.35	+	1.48	3.91E-01
positive regulation of protein localization to membrane (GO:1905477)	1	1	.68	+	1.48	4.91E-01
formate metabolic process (GO:0015942)	1	1	.68	+	1.48	4.91E-01
regulation of protein localization to membrane (GO:1905475)	1	1	.68	+	1.48	4.91E-01
meiotic spindle assembly checkpoint signaling (GO:0033316)	1	1	.68	+	1.48	4.91E-01
negative regulation of conjugation with cellular fusion (GO:0031138)	2	2	1.35	+	1.48	3.91E-01
negative regulation of conjugation (GO:0031135)	2	2	1.35	+	1.48	3.91E-01
coenzyme A catabolic process (GO:0015938)	1	1	.68	+	1.48	4.91E-01
regulation of DNA stability (GO:0097752)	2	2	1.35	+	1.48	3.91E-01
deoxyribonucleotide catabolic process (GO:0009264)	1	1	.68	+	1.48	4.91E-01
negative regulation of microtubule polymerization (GO:0031115)	1	1	.68	+	1.48	4.91E-01
membrane tubulation (GO:0097749)	2	2	1.35	+	1.48	3.91E-01
fatty-acyl-CoA transport (GO:0015916)	2	2	1.35	+	1.48	3.91E-01
long-chain fatty acid import into peroxisome (GO:0015910)	2	2	1.35	+	1.48	3.91E-01
protein localization to mating projection tip (GO:1903260)	1	1	.68	+	1.48	4.91E-01
positive regulation of transcription involved in exit from mitosis, from RNA polymerase II promoter (GO:0007074)	1	1	.68	+	1.48	4.91E-01
positive regulation of transcription involved in exit from mitosis (GO:0007072)	1	1	.68	+	1.48	4.91E-01
fluconazole transport (GO:0015903)	1	1	.68	+	1.48	4.91E-01
beta-alanine transport (GO:0001762)	1	1	.68	+	1.48	4.91E-01
thiamine catabolic process (GO:0009230)	1	1	.68	+	1.48	4.91E-01
pyrimidine deoxyribonucleotide catabolic process (GO:0009223)	1	1	.68	+	1.48	4.91E-01
pyrimidine ribonucleotide catabolic process (GO:0009222)	1	1	.68	+	1.48	4.91E-01
quinolinic acid transmembrane transport (GO:1903222)	1	1	.68	+	1.48	4.91E-01
purine deoxyribonucleoside triphosphate catabolic process (GO:0009217)	2	2	1.35	+	1.48	3.91E-01
purine deoxyribonucleoside triphosphate metabolic process (GO:0009215)	2	2	1.35	+	1.48	3.91E-01
pyrimidine deoxyribonucleoside triphosphate catabolic process (GO:0009213)	2	2	1.35	+	1.48	3.91E-01
formation of translation preinitiation complex (GO:0001731)	13	13	8.78	+	1.48	1.09E-01
deoxyribonucleoside triphosphate catabolic process (GO:0009204)	2	2	1.35	+	1.48	3.91E-01
positive regulation of response to reactive oxygen species (GO:1901033)	1	1	.68	+	1.48	4.91E-01
negative regulation of response to reactive oxygen species (GO:1901032)	1	1	.68	+	1.48	4.91E-01
microtubule nucleation (GO:0007020)	4	4	2.70	+	1.48	2.86E-01
positive regulation of oxidative stress-induced cell death (GO:1903209)	1	1	.68	+	1.48	4.91E-01
negative regulation of hydrogen peroxide-induced cell death (GO:1903206)	1	1	.68	+	1.48	4.91E-01
negative regulation of oxidative stress-induced cell death (GO:1903202)	1	1	.68	+	1.48	4.91E-01
CAAX-box protein processing (GO:0071586)	2	2	1.35	+	1.48	3.91E-01
zinc ion import across plasma membrane (GO:0071578)	2	2	1.35	+	1.48	3.91E-01
histone H3-K56 deacetylation (GO:0071572)	1	1	.68	+	1.48	4.91E-01
distributive segregation (GO:0032837)	1	1	.68	+	1.48	4.91E-01
cellular phosphate ion homeostasis (GO:0030643)	1	1	.68	+	1.48	4.91E-01
mannosyl-inositol phosphorylceramide biosynthetic process (GO:0051999)	2	2	1.35	+	1.48	3.91E-01
positive regulation of monopolar spindle attachment to meiosis I kinetochore (GO:1904968)	1	1	.68	+	1.48	4.91E-01
regulation of monopolar spindle attachment to meiosis I kinetochore (GO:1904967)	1	1	.68	+	1.48	4.91E-01
diphosphoinositol polyphosphate metabolic process (GO:0071543)	2	2	1.35	+	1.48	3.91E-01
spermine biosynthetic process (GO:0006597)	2	2	1.35	+	1.48	3.91E-01
polyamine biosynthetic process (GO:0006596)	4	4	2.70	+	1.48	2.86E-01
ornithine biosynthetic process (GO:0006592)	4	4	2.70	+	1.48	2.86E-01
negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000805)	1	1	.68	+	1.48	4.91E-01
regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000804)	1	1	.68	+	1.48	4.91E-01
mitochondrial large ribosomal subunit assembly (GO:1902775)	1	1	.68	+	1.48	4.91E-01
positive regulation of telomerase activity (GO:0051973)	1	1	.68	+	1.48	4.91E-01
vesicle transport along microtubule (GO:0047496)	2	2	1.35	+	1.48	3.91E-01
amino-acid betaine biosynthetic process (GO:0006578)	1	1	.68	+	1.48	4.91E-01
valine catabolic process (GO:0006574)	2	2	1.35	+	1.48	3.91E-01
tyrosine biosynthetic process (GO:0006571)	4	4	2.70	+	1.48	2.86E-01
S-adenosylmethioninamine biosynthetic process (GO:0006557)	1	1	.68	+	1.48	4.91E-01
isoleucine catabolic process (GO:0006550)	1	1	.68	+	1.48	4.91E-01
cobalt ion homeostasis (GO:0055068)	1	1	.68	+	1.48	4.91E-01
phosphate ion homeostasis (GO:0055062)	1	1	.68	+	1.48	4.91E-01
glucose catabolic process to pyruvate (GO:0061718)	2	2	1.35	+	1.48	3.91E-01
glycine catabolic process (GO:0006546)	4	4	2.70	+	1.48	2.86E-01
glutamine biosynthetic process (GO:0006542)	1	1	.68	+	1.48	4.91E-01
glutamate decarboxylation to succinate (GO:0006540)	1	1	.68	+	1.48	4.91E-01
cytoplasmic translational elongation (GO:0002182)	2	2	1.35	+	1.48	3.91E-01
positive regulation of purine nucleotide metabolic process (GO:1900544)	1	1	.68	+	1.48	4.91E-01
regulation of purine nucleotide metabolic process (GO:1900542)	4	4	2.70	+	1.48	2.86E-01
purine nucleobase salvage (GO:0043096)	4	4	2.70	+	1.48	2.86E-01
cysteine biosynthetic process from serine (GO:0006535)	2	2	1.35	+	1.48	3.91E-01
aspartate catabolic process (GO:0006533)	1	1	.68	+	1.48	4.91E-01
aspartate biosynthetic process (GO:0006532)	1	1	.68	+	1.48	4.91E-01
aspartate metabolic process (GO:0006531)	2	2	1.35	+	1.48	3.91E-01
asparagine catabolic process (GO:0006530)	2	2	1.35	+	1.48	3.91E-01
asparagine biosynthetic process (GO:0006529)	4	4	2.70	+	1.48	2.86E-01
negative regulation of phosphatidylcholine metabolic process (GO:0150174)	2	2	1.35	+	1.48	3.91E-01
alanine catabolic process (GO:0006524)	2	2	1.35	+	1.48	3.91E-01
alanine biosynthetic process (GO:0006523)	1	1	.68	+	1.48	4.91E-01
alanine metabolic process (GO:0006522)	2	2	1.35	+	1.48	3.91E-01
malonyl-CoA biosynthetic process (GO:2001295)	1	1	.68	+	1.48	4.91E-01
malonyl-CoA metabolic process (GO:2001293)	1	1	.68	+	1.48	4.91E-01
GPI anchor release (GO:0006507)	1	1	.68	+	1.48	4.91E-01
meiotic metaphase I plate congression (GO:0043060)	1	1	.68	+	1.48	4.91E-01
DNA clamp unloading (GO:0090618)	1	1	.68	+	1.48	4.91E-01
dolichyl monophosphate biosynthetic process (GO:0043048)	1	1	.68	+	1.48	4.91E-01
tRNA wobble base cytosine methylation (GO:0002127)	1	1	.68	+	1.48	4.91E-01
folic acid transport (GO:0015884)	1	1	.68	+	1.48	4.91E-01
FAD transport (GO:0015883)	4	4	2.70	+	1.48	2.86E-01
biotin transport (GO:0015878)	1	1	.68	+	1.48	4.91E-01
acetyl-CoA transport (GO:0015876)	2	2	1.35	+	1.48	3.91E-01
choline transport (GO:0015871)	1	1	.68	+	1.48	4.91E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S) (GO:0002109)	1	1	.68	+	1.48	4.91E-01
positive regulation of cellular amine catabolic process (GO:0033243)	1	1	.68	+	1.48	4.91E-01
regulation of cellular amine catabolic process (GO:0033241)	2	2	1.35	+	1.48	3.91E-01
tRNA wobble cytosine modification (GO:0002101)	1	1	.68	+	1.48	4.91E-01
tRNA wobble adenosine to inosine editing (GO:0002100)	2	2	1.35	+	1.48	3.91E-01
negative regulation of histone methylation (GO:0031061)	1	1	.68	+	1.48	4.91E-01
negative regulation of phosphatidylcholine biosynthetic process (GO:2001246)	2	2	1.35	+	1.48	3.91E-01
cytidine transport (GO:0015861)	1	1	.68	+	1.48	4.91E-01
positive regulation of protein sumoylation (GO:0033235)	2	2	1.35	+	1.48	3.91E-01
regulation of protein sumoylation (GO:0033233)	2	2	1.35	+	1.48	3.91E-01
pre-miRNA processing (GO:0031054)	2	2	1.35	+	1.48	3.91E-01
primary miRNA processing (GO:0031053)	2	2	1.35	+	1.48	3.91E-01
dsRNA processing (GO:0031050)	2	2	1.35	+	1.48	3.91E-01
uracil transport (GO:0015857)	1	1	.68	+	1.48	4.91E-01
negative regulation of apoptotic signaling pathway (GO:2001234)	1	1	.68	+	1.48	4.91E-01
regulation of apoptotic signaling pathway (GO:2001233)	1	1	.68	+	1.48	4.91E-01
pyrimidine ribonucleoside diphosphate catabolic process (GO:0009195)	1	1	.68	+	1.48	4.91E-01
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	1	1	.68	+	1.48	4.91E-01
gene silencing by RNA (GO:0031047)	4	4	2.70	+	1.48	2.86E-01
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	2	2	1.35	+	1.48	3.91E-01
ribonucleoside diphosphate catabolic process (GO:0009191)	1	1	.68	+	1.48	4.91E-01
regulation of transcription from RNA polymerase II promoter in response to iron ion starvation (GO:0033217)	1	1	.68	+	1.48	4.91E-01
ribonucleoside diphosphate biosynthetic process (GO:0009188)	4	4	2.70	+	1.48	2.86E-01
amine transport (GO:0015837)	2	2	1.35	+	1.48	3.91E-01
regulation of isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:2001210)	1	1	.68	+	1.48	4.91E-01
cytosol to endoplasmic reticulum transport (GO:0046967)	1	1	.68	+	1.48	4.91E-01
tryptophan transport (GO:0015827)	2	2	1.35	+	1.48	3.91E-01
3'-phosphoadenosine 5'-phosphosulfate transport (GO:0046963)	1	1	.68	+	1.48	4.91E-01
methionine transport (GO:0015821)	2	2	1.35	+	1.48	3.91E-01
cilium organization (GO:0044782)	1	1	.68	+	1.48	4.91E-01
lysine transport (GO:0015819)	2	2	1.35	+	1.48	3.91E-01
histidine transport (GO:0015817)	1	1	.68	+	1.48	4.91E-01
tRNA 3'-terminal CCA addition (GO:0001680)	1	1	.68	+	1.48	4.91E-01
meiotic spindle checkpoint signaling (GO:0044779)	1	1	.68	+	1.48	4.91E-01
meiotic DNA integrity checkpoint signaling (GO:0044778)	2	2	1.35	+	1.48	3.91E-01
aspartate transmembrane transport (GO:0015810)	1	1	.68	+	1.48	4.91E-01
regulation of cohesin unloading (GO:1905343)	2	2	1.35	+	1.48	3.91E-01
meiotic cell cycle phase transition (GO:0044771)	1	1	.68	+	1.48	4.91E-01
deoxyribonucleoside monophosphate catabolic process (GO:0009159)	2	2	1.35	+	1.48	3.91E-01
purine deoxyribonucleotide catabolic process (GO:0009155)	1	1	.68	+	1.48	4.91E-01
purine deoxyribonucleotide metabolic process (GO:0009151)	1	1	.68	+	1.48	4.91E-01
formation of translation initiation ternary complex (GO:0001677)	1	1	.68	+	1.48	4.91E-01
long-chain fatty acid metabolic process (GO:0001676)	8	8	5.40	+	1.48	1.79E-01
positive regulation of cohesin unloading (GO:1905339)	2	2	1.35	+	1.48	3.91E-01
S-adenosyl-L-methionine transport (GO:0015805)	2	2	1.35	+	1.48	3.91E-01
pyrimidine nucleoside triphosphate catabolic process (GO:0009149)	2	2	1.35	+	1.48	3.91E-01
purine nucleoside triphosphate catabolic process (GO:0009146)	2	2	1.35	+	1.48	3.91E-01
peptidyl-lysine deacetylation (GO:0034983)	1	1	.68	+	1.48	4.91E-01
nucleoside triphosphate catabolic process (GO:0009143)	2	2	1.35	+	1.48	3.91E-01
pyrimidine nucleoside diphosphate catabolic process (GO:0009140)	1	1	.68	+	1.48	4.91E-01
sphingoid long-chain base transport (GO:1905329)	2	2	1.35	+	1.48	3.91E-01
potassium ion export across plasma membrane (GO:0097623)	1	1	.68	+	1.48	4.91E-01
nucleoside diphosphate catabolic process (GO:0009134)	2	2	1.35	+	1.48	3.91E-01
histone arginine methylation (GO:0034969)	1	1	.68	+	1.48	4.91E-01
box H/ACA RNA processing (GO:0034964)	2	2	1.35	+	1.48	3.91E-01
nucleoside monophosphate catabolic process (GO:0009125)	2	2	1.35	+	1.48	3.91E-01
peptidyl-tyrosine autophosphorylation (GO:0038083)	1	1	.68	+	1.48	4.91E-01
vitamin catabolic process (GO:0009111)	2	2	1.35	+	1.48	3.91E-01
regulation of mitochondrial membrane permeability (GO:0046902)	1	1	.68	+	1.48	4.91E-01
positive regulation of establishment or maintenance of cell polarity regulating cell shape (GO:2000771)	1	1	.68	+	1.48	4.91E-01
lipoate biosynthetic process (GO:0009107)	2	2	1.35	+	1.48	3.91E-01
lipoate metabolic process (GO:0009106)	2	2	1.35	+	1.48	3.91E-01
regulation of establishment or maintenance of cell polarity regulating cell shape (GO:2000769)	1	1	.68	+	1.48	4.91E-01
positive regulation of cytoplasmic translation (GO:2000767)	2	2	1.35	+	1.48	3.91E-01
regulation of mitochondrial transcription (GO:1903108)	1	1	.68	+	1.48	4.91E-01
positive regulation of peptidyl-lysine acetylation (GO:2000758)	8	8	5.40	+	1.48	1.79E-01
cellular hypotonic response (GO:0071476)	1	1	.68	+	1.48	4.91E-01
regulation of translational initiation by eIF2 alpha phosphorylation (GO:0010998)	2	2	1.35	+	1.48	3.91E-01
regulation of mRNA export from nucleus in response to heat stress (GO:2000728)	1	1	.68	+	1.48	4.91E-01
positive regulation of DNA ligase activity (GO:1904877)	1	1	.68	+	1.48	4.91E-01
regulation of DNA ligase activity (GO:1904875)	1	1	.68	+	1.48	4.91E-01
cellular response to hypoxia (GO:0071456)	4	4	2.70	+	1.48	2.86E-01
regulation of cell wall macromolecule metabolic process (GO:0010981)	2	2	1.35	+	1.48	3.91E-01
regulation of protein kinase B signaling (GO:0051896)	1	1	.68	+	1.48	4.91E-01
mitochondrial ribosome assembly (GO:0061668)	1	1	.68	+	1.48	4.91E-01
N-terminal protein myristoylation (GO:0006499)	1	1	.68	+	1.48	4.91E-01
N-terminal protein lipidation (GO:0006498)	1	1	.68	+	1.48	4.91E-01
regulation of mitochondrial membrane potential (GO:0051881)	1	1	.68	+	1.48	4.91E-01
regulation of microtubule nucleation (GO:0010968)	1	1	.68	+	1.48	4.91E-01
dolichyl diphosphate biosynthetic process (GO:0006489)	1	1	.68	+	1.48	4.91E-01
N-terminal protein amino acid methylation (GO:0006480)	2	2	1.35	+	1.48	3.91E-01
