




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9012)	upload_1 (2982)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
dihydrofolate biosynthetic process (GO:0006761)	1	1	.33	+	3.02	2.82E-01
regulation of ribonucleoside-diphosphate reductase activity (GO:1905117)	1	1	.33	+	3.02	2.82E-01
cellular sphingolipid homeostasis (GO:0090156)	1	1	.33	+	3.02	2.82E-01
negative regulation of sphingolipid biosynthetic process (GO:0090155)	1	1	.33	+	3.02	2.82E-01
neuron differentiation (GO:0030182)	1	1	.33	+	3.02	2.82E-01
ER to Golgi ceramide transport (GO:0035621)	1	1	.33	+	3.02	2.82E-01
regulation of ceramide biosynthetic process (GO:2000303)	1	1	.33	+	3.02	2.82E-01
regulation of DNA-dependent DNA replication initiation (GO:0030174)	1	1	.33	+	3.02	2.82E-01
inactivation of MAPK activity (GO:0000188)	1	1	.33	+	3.02	2.82E-01
mannosylglycerate biosynthetic process (GO:0051479)	1	1	.33	+	3.02	2.82E-01
activation of MAPKK activity (GO:0000186)	1	1	.33	+	3.02	2.82E-01
mannosylglycerate metabolic process (GO:0051478)	1	1	.33	+	3.02	2.82E-01
cholesterol catabolic process (GO:0006707)	1	1	.33	+	3.02	2.82E-01
chromatin-mediated maintenance of transcription (GO:0048096)	1	1	.33	+	3.02	2.82E-01
serine transport (GO:0032329)	2	2	.66	+	3.02	1.43E-01
negative regulation of DNA helicase activity (GO:1905775)	1	1	.33	+	3.02	2.82E-01
regulation of DNA helicase activity (GO:1905774)	1	1	.33	+	3.02	2.82E-01
regulation of cytoplasmic translational initiation (GO:1904688)	1	1	.33	+	3.02	2.82E-01
tRNA transcription by RNA polymerase III (GO:0042797)	2	2	.66	+	3.02	1.43E-01
execution phase of apoptosis (GO:0097194)	1	1	.33	+	3.02	2.82E-01
histone displacement (GO:0001207)	1	1	.33	+	3.02	2.82E-01
histone H3-K36 demethylation (GO:0070544)	1	1	.33	+	3.02	2.82E-01
FMN biosynthetic process (GO:0009398)	2	2	.66	+	3.02	1.43E-01
heme O biosynthetic process (GO:0048034)	1	1	.33	+	3.02	2.82E-01
heme o metabolic process (GO:0048033)	1	1	.33	+	3.02	2.82E-01
amino acid transmembrane import into vacuole (GO:0032975)	1	1	.33	+	3.02	2.82E-01
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	1	1	.33	+	3.02	2.82E-01
peptidyl-histidine methylation (GO:0018021)	1	1	.33	+	3.02	2.82E-01
regulation of mitotic spindle checkpoint (GO:1903504)	1	1	.33	+	3.02	2.82E-01
N-terminal peptidyl-glycine methylation (GO:0018013)	1	1	.33	+	3.02	2.82E-01
RNA acetylation (GO:1990884)	1	1	.33	+	3.02	2.82E-01
rRNA acetylation (GO:1990882)	1	1	.33	+	3.02	2.82E-01
N-terminal peptidyl-glycine N-myristoylation (GO:0018008)	1	1	.33	+	3.02	2.82E-01
generation of neurons (GO:0048699)	1	1	.33	+	3.02	2.82E-01
peptidyl-lysine desuccinylation (GO:0036049)	1	1	.33	+	3.02	2.82E-01
protein desuccinylation (GO:0036048)	1	1	.33	+	3.02	2.82E-01
peptidyl-lysine demalonylation (GO:0036047)	1	1	.33	+	3.02	2.82E-01
protein demalonylation (GO:0036046)	1	1	.33	+	3.02	2.82E-01
ethanol oxidation (GO:0006069)	1	1	.33	+	3.02	2.82E-01
ethanol metabolic process (GO:0006067)	1	1	.33	+	3.02	2.82E-01
tRNA N2-guanine methylation (GO:0002940)	1	1	.33	+	3.02	2.82E-01
oligosaccharide biosynthetic process (GO:0009312)	2	2	.66	+	3.02	1.43E-01
homogentisate metabolic process (GO:1901999)	1	1	.33	+	3.02	2.82E-01
tRNA transcription (GO:0009304)	2	2	.66	+	3.02	1.43E-01
neuron fate specification (GO:0048665)	1	1	.33	+	3.02	2.82E-01
neuron fate commitment (GO:0048663)	1	1	.33	+	3.02	2.82E-01
nuclear migration by microtubule mediated pushing forces (GO:0098863)	3	3	.99	+	3.02	7.89E-02
DNA catabolic process, endonucleolytic (GO:0000737)	2	2	.66	+	3.02	1.43E-01
cholesterol metabolic process (GO:0008203)	1	1	.33	+	3.02	2.82E-01
glycosaminoglycan catabolic process (GO:0006027)	1	1	.33	+	3.02	2.82E-01
glycosphingolipid catabolic process (GO:0046479)	1	1	.33	+	3.02	2.82E-01
glycosylceramide catabolic process (GO:0046477)	1	1	.33	+	3.02	2.82E-01
glycosylceramide biosynthetic process (GO:0046476)	1	1	.33	+	3.02	2.82E-01
dolichyl diphosphate metabolic process (GO:0046465)	1	1	.33	+	3.02	2.82E-01
protein localization to cell division site after cytokinesis (GO:0098841)	1	1	.33	+	3.02	2.82E-01
positive regulation of developmental growth (GO:0048639)	1	1	.33	+	3.02	2.82E-01
regulation of developmental growth (GO:0048638)	1	1	.33	+	3.02	2.82E-01
endoplasmic reticulum tubular network membrane organization (GO:1990809)	1	1	.33	+	3.02	2.82E-01
fucose metabolic process (GO:0006004)	1	1	.33	+	3.02	2.82E-01
meiotic strand invasion (GO:0000708)	1	1	.33	+	3.02	2.82E-01
FMN metabolic process (GO:0046444)	2	2	.66	+	3.02	1.43E-01
cytidine deamination (GO:0009972)	1	1	.33	+	3.02	2.82E-01
late endosome to Golgi transport (GO:0034499)	1	1	.33	+	3.02	2.82E-01
neutral amino acid transmembrane import into vacuole (GO:0034491)	1	1	.33	+	3.02	2.82E-01
basic amino acid transmembrane import into vacuole (GO:0034490)	1	1	.33	+	3.02	2.82E-01
negative regulation of conidium formation (GO:0075308)	1	1	.33	+	3.02	2.82E-01
glycosphingolipid biosynthetic process (GO:0006688)	2	2	.66	+	3.02	1.43E-01
glycosphingolipid metabolic process (GO:0006687)	3	3	.99	+	3.02	7.89E-02
sphingomyelin catabolic process (GO:0006685)	1	1	.33	+	3.02	2.82E-01
carnitine biosynthetic process (GO:0045329)	2	2	.66	+	3.02	1.43E-01
sphingomyelin metabolic process (GO:0006684)	1	1	.33	+	3.02	2.82E-01
glucosylceramide catabolic process (GO:0006680)	1	1	.33	+	3.02	2.82E-01
regulation of protein deubiquitination (GO:0090085)	1	1	.33	+	3.02	2.82E-01
glucosylceramide biosynthetic process (GO:0006679)	1	1	.33	+	3.02	2.82E-01
glucosylceramide metabolic process (GO:0006678)	2	2	.66	+	3.02	1.43E-01
glycosylceramide metabolic process (GO:0006677)	2	2	.66	+	3.02	1.43E-01
mannosyl-inositol phosphorylceramide metabolic process (GO:0006675)	1	1	.33	+	3.02	2.82E-01
U6 snRNA 3'-end processing (GO:0034477)	1	1	.33	+	3.02	2.82E-01
putrescine biosynthetic process from ornithine (GO:0033387)	1	1	.33	+	3.02	2.82E-01
positive regulation of establishment or maintenance of bipolar cell polarity regulating cell shape (GO:2000247)	1	1	.33	+	3.02	2.82E-01
fluid transport (GO:0042044)	1	1	.33	+	3.02	2.82E-01
glycerol ether metabolic process (GO:0006662)	1	1	.33	+	3.02	2.82E-01
CTP salvage (GO:0044211)	1	1	.33	+	3.02	2.82E-01
'de novo' CTP biosynthetic process (GO:0044210)	1	1	.33	+	3.02	2.82E-01
positive regulation of establishment of bipolar cell polarity (GO:0061173)	1	1	.33	+	3.02	2.82E-01
regulation of establishment of bipolar cell polarity (GO:0061172)	1	1	.33	+	3.02	2.82E-01
peptidyl-histidine methylation, to form tele-methylhistidine (GO:0042038)	1	1	.33	+	3.02	2.82E-01
UMP salvage (GO:0044206)	1	1	.33	+	3.02	2.82E-01
positive regulation of establishment of bipolar cell polarity regulating cell shape (GO:0061161)	1	1	.33	+	3.02	2.82E-01
regulation of establishment of bipolar cell polarity regulating cell shape (GO:0061160)	1	1	.33	+	3.02	2.82E-01
protein repair (GO:0030091)	1	1	.33	+	3.02	2.82E-01
triglyceride mobilization (GO:0006642)	1	1	.33	+	3.02	2.82E-01
XMP salvage (GO:0032265)	1	1	.33	+	3.02	2.82E-01
GMP salvage (GO:0032263)	1	1	.33	+	3.02	2.82E-01
pyrimidine nucleotide salvage (GO:0032262)	1	1	.33	+	3.02	2.82E-01
unsaturated fatty acid biosynthetic process (GO:0006636)	1	1	.33	+	3.02	2.82E-01
tRNA acetylation (GO:0051391)	1	1	.33	+	3.02	2.82E-01
ferrichrome biosynthetic process (GO:0031169)	1	1	.33	+	3.02	2.82E-01
ferrichrome metabolic process (GO:0031168)	1	1	.33	+	3.02	2.82E-01
protein targeting to lysosome (GO:0006622)	1	1	.33	+	3.02	2.82E-01
lipid droplet disassembly (GO:1905691)	1	1	.33	+	3.02	2.82E-01
positive regulation of nucleobase-containing compound transport (GO:0032241)	1	1	.33	+	3.02	2.82E-01
positive regulation of actin filament bundle assembly (GO:0032233)	1	1	.33	+	3.02	2.82E-01
regulation of actin filament bundle assembly (GO:0032231)	1	1	.33	+	3.02	2.82E-01
snRNA pseudouridine synthesis (GO:0031120)	3	3	.99	+	3.02	7.89E-02
argininosuccinate metabolic process (GO:0000053)	1	1	.33	+	3.02	2.82E-01
urea cycle (GO:0000050)	2	2	.66	+	3.02	1.43E-01
nucleus-vacuole junction assembly (GO:0071562)	1	1	.33	+	3.02	2.82E-01
positive regulation of exocytosis (GO:0045921)	1	1	.33	+	3.02	2.82E-01
formate metabolic process (GO:0015942)	1	1	.33	+	3.02	2.82E-01
maltose catabolic process (GO:0000025)	2	2	.66	+	3.02	1.43E-01
positive regulation of protein localization to nucleus (GO:1900182)	1	1	.33	+	3.02	2.82E-01
regulation of protein localization to nucleus (GO:1900180)	1	1	.33	+	3.02	2.82E-01
L-glutamate biosynthetic process (GO:0097054)	1	1	.33	+	3.02	2.82E-01
oxaloacetate(2-) transmembrane transport (GO:1902356)	1	1	.33	+	3.02	2.82E-01
box H/ACA RNA metabolic process (GO:0033979)	1	1	.33	+	3.02	2.82E-01
regulation of establishment or maintenance of cell polarity (GO:0032878)	1	1	.33	+	3.02	2.82E-01
protein linear polyubiquitination (GO:0097039)	1	1	.33	+	3.02	2.82E-01
establishment of imprinting at mating-type locus (GO:0071516)	1	1	.33	+	3.02	2.82E-01
genetic imprinting at mating-type locus (GO:0071515)	1	1	.33	+	3.02	2.82E-01
genetic imprinting (GO:0071514)	1	1	.33	+	3.02	2.82E-01
mannosyl-inositol phosphorylceramide biosynthetic process (GO:0051999)	1	1	.33	+	3.02	2.82E-01
regulation of cell fate commitment (GO:0010453)	1	1	.33	+	3.02	2.82E-01
nuclear DNA replication termination (GO:1902317)	1	1	.33	+	3.02	2.82E-01
peptidoglycan catabolic process (GO:0009253)	1	1	.33	+	3.02	2.82E-01
methylglyoxal catabolic process to lactate (GO:0061727)	2	2	.66	+	3.02	1.43E-01
xyloglucan metabolic process (GO:0010411)	1	1	.33	+	3.02	2.82E-01
lysosomal transport (GO:0007041)	1	1	.33	+	3.02	2.82E-01
polyketide biosynthetic process (GO:0030639)	1	1	.33	+	3.02	2.82E-01
protein catabolic process in the vacuole (GO:0007039)	1	1	.33	+	3.02	2.82E-01
L-glutamate import (GO:0051938)	1	1	.33	+	3.02	2.82E-01
ammonia assimilation cycle (GO:0019676)	1	1	.33	+	3.02	2.82E-01
central nervous system neuron differentiation (GO:0021953)	1	1	.33	+	3.02	2.82E-01
mitotic DNA replication termination (GO:1902979)	1	1	.33	+	3.02	2.82E-01
non-glycolytic fermentation (GO:0019662)	1	1	.33	+	3.02	2.82E-01
cell fate specification (GO:0001708)	1	1	.33	+	3.02	2.82E-01
purine nucleobase salvage (GO:0043096)	1	1	.33	+	3.02	2.82E-01
disaccharide biosynthetic process (GO:0046351)	2	2	.66	+	3.02	1.43E-01
animal organ development (GO:0048513)	1	1	.33	+	3.02	2.82E-01
rhythmic process (GO:0048511)	1	1	.33	+	3.02	2.82E-01
pantothenate import across plasma membrane (GO:0098717)	1	1	.33	+	3.02	2.82E-01
negative regulation of transcription from RNA polymerase II promoter in response to iron (GO:0034396)	1	1	.33	+	3.02	2.82E-01
regulation of transcription from RNA polymerase II promoter in response to iron (GO:0034395)	1	1	.33	+	3.02	2.82E-01
protein localization to cell surface (GO:0034394)	2	2	.66	+	3.02	1.43E-01
dolichyl monophosphate biosynthetic process (GO:0043048)	1	1	.33	+	3.02	2.82E-01
amino acid activation for nonribosomal peptide biosynthetic process (GO:0043041)	2	2	.66	+	3.02	1.43E-01
amino-acid betaine biosynthetic process (GO:0006578)	4	4	1.32	+	3.02	4.54E-02
vitamin transmembrane transport (GO:0035461)	4	4	1.32	+	3.02	4.54E-02
alkaloid biosynthetic process (GO:0009821)	1	1	.33	+	3.02	2.82E-01
dipeptide transmembrane transport (GO:0035442)	2	2	.66	+	3.02	1.43E-01
NAD salvage (GO:0034355)	1	1	.33	+	3.02	2.82E-01
isoleucine catabolic process (GO:0006550)	1	1	.33	+	3.02	2.82E-01
cap-dependent translational initiation (GO:0002191)	1	1	.33	+	3.02	2.82E-01
galacturonan metabolic process (GO:0010393)	7	6	2.32	+	2.59	3.08E-02
pectin catabolic process (GO:0045490)	7	6	2.32	+	2.59	3.08E-02
pectin metabolic process (GO:0045488)	7	6	2.32	+	2.59	3.08E-02
posttranslational protein targeting to membrane, translocation (GO:0031204)	7	6	2.32	+	2.59	3.08E-02
arabinose metabolic process (GO:0019566)	5	4	1.65	+	2.42	8.64E-02
vitamin transport (GO:0051180)	5	4	1.65	+	2.42	8.64E-02
sucrose metabolic process (GO:0005985)	5	4	1.65	+	2.42	8.64E-02
hexitol catabolic process (GO:0019407)	5	4	1.65	+	2.42	8.64E-02
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	5	4	1.65	+	2.42	8.64E-02
negative regulation of protein phosphorylation (GO:0001933)	5	4	1.65	+	2.42	8.64E-02
hexitol metabolic process (GO:0006059)	5	4	1.65	+	2.42	8.64E-02
negative regulation of transferase activity (GO:0051348)	5	4	1.65	+	2.42	8.64E-02
cell fate commitment (GO:0045165)	4	3	1.32	+	2.27	1.48E-01
azole transmembrane transport (GO:0045117)	4	3	1.32	+	2.27	1.48E-01
spindle pole body duplication (GO:0030474)	4	3	1.32	+	2.27	1.48E-01
DNA catabolic process (GO:0006308)	4	3	1.32	+	2.27	1.48E-01
response to metal ion (GO:0010038)	4	3	1.32	+	2.27	1.48E-01
putrescine biosynthetic process (GO:0009446)	4	3	1.32	+	2.27	1.48E-01
putrescine metabolic process (GO:0009445)	4	3	1.32	+	2.27	1.48E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	4	3	1.32	+	2.27	1.48E-01
sphingolipid catabolic process (GO:0030149)	8	6	2.65	+	2.27	5.25E-02
long-chain fatty acid biosynthetic process (GO:0042759)	4	3	1.32	+	2.27	1.48E-01
sorbitol catabolic process (GO:0006062)	4	3	1.32	+	2.27	1.48E-01
sorbitol metabolic process (GO:0006060)	4	3	1.32	+	2.27	1.48E-01
membrane lipid catabolic process (GO:0046466)	8	6	2.65	+	2.27	5.25E-02
fructose 6-phosphate metabolic process (GO:0006002)	4	3	1.32	+	2.27	1.48E-01
positive regulation of translational fidelity (GO:0045903)	4	3	1.32	+	2.27	1.48E-01
L-arabinose metabolic process (GO:0046373)	4	3	1.32	+	2.27	1.48E-01
urea metabolic process (GO:0019627)	4	3	1.32	+	2.27	1.48E-01
protein maturation by iron-sulfur cluster transfer (GO:0097428)	7	5	2.32	+	2.16	8.56E-02
regulation of ATPase activity (GO:0043462)	7	5	2.32	+	2.16	8.56E-02
rRNA pseudouridine synthesis (GO:0031118)	10	7	3.31	+	2.12	5.15E-02
glutamate catabolic process (GO:0006538)	3	2	.99	+	2.01	2.62E-01
regulation of mitochondrial gene expression (GO:0062125)	3	2	.99	+	2.01	2.62E-01
C-terminal protein lipidation (GO:0006501)	3	2	.99	+	2.01	2.62E-01
cellular ketone body metabolic process (GO:0046950)	3	2	.99	+	2.01	2.62E-01
pyrimidine-containing compound transmembrane transport (GO:0072531)	3	2	.99	+	2.01	2.62E-01
superoxide anion generation (GO:0042554)	3	2	.99	+	2.01	2.62E-01
ketone body metabolic process (GO:1902224)	3	2	.99	+	2.01	2.62E-01
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	3	2	.99	+	2.01	2.62E-01
mating type determination (GO:0007531)	3	2	.99	+	2.01	2.62E-01
sex determination (GO:0007530)	3	2	.99	+	2.01	2.62E-01
protein depalmitoylation (GO:0002084)	3	2	.99	+	2.01	2.62E-01
phenylalanyl-tRNA aminoacylation (GO:0006432)	3	2	.99	+	2.01	2.62E-01
nucleotide-sugar transmembrane transport (GO:0015780)	6	4	1.99	+	2.01	1.40E-01
lipid phosphorylation (GO:0046834)	3	2	.99	+	2.01	2.62E-01
positive regulation of nucleocytoplasmic transport (GO:0046824)	3	2	.99	+	2.01	2.62E-01
sucrose catabolic process (GO:0005987)	3	2	.99	+	2.01	2.62E-01
branched-chain amino acid catabolic process (GO:0009083)	6	4	1.99	+	2.01	1.40E-01
mitochondrial phosphate ion transmembrane transport (GO:1990547)	3	2	.99	+	2.01	2.62E-01
cell wall glycoprotein biosynthetic process (GO:0031506)	12	8	3.97	+	2.01	4.93E-02
protein insertion into ER membrane (GO:0045048)	3	2	.99	+	2.01	2.62E-01
dolichol biosynthetic process (GO:0019408)	3	2	.99	+	2.01	2.62E-01
alditol catabolic process (GO:0019405)	9	6	2.98	+	2.01	8.16E-02
peptidyl-arginine omega-N-methylation (GO:0035247)	3	2	.99	+	2.01	2.62E-01
nucleosome disassembly (GO:0006337)	3	2	.99	+	2.01	2.62E-01
regulation of helicase activity (GO:0051095)	3	2	.99	+	2.01	2.62E-01
protein maturation by [4Fe-4S] cluster transfer (GO:0106035)	3	2	.99	+	2.01	2.62E-01
proton-transporting ATP synthase complex assembly (GO:0043461)	6	4	1.99	+	2.01	1.40E-01
cellular response to inorganic substance (GO:0071241)	3	2	.99	+	2.01	2.62E-01
chromatin disassembly (GO:0031498)	3	2	.99	+	2.01	2.62E-01
positive regulation of mitochondrial translation (GO:0070131)	3	2	.99	+	2.01	2.62E-01
negative regulation of phosphorylation (GO:0042326)	6	4	1.99	+	2.01	1.40E-01
regulation of mitochondrial translation (GO:0070129)	3	2	.99	+	2.01	2.62E-01
cellular response to iron ion starvation (GO:0010106)	3	2	.99	+	2.01	2.62E-01
generation of catalytic spliceosome for first transesterification step (GO:0000349)	3	2	.99	+	2.01	2.62E-01
polyprenol biosynthetic process (GO:0016094)	3	2	.99	+	2.01	2.62E-01
detection of stimulus (GO:0051606)	3	2	.99	+	2.01	2.62E-01
detection of light stimulus (GO:0009583)	3	2	.99	+	2.01	2.62E-01
detection of abiotic stimulus (GO:0009582)	3	2	.99	+	2.01	2.62E-01
detection of external stimulus (GO:0009581)	3	2	.99	+	2.01	2.62E-01
pentose catabolic process (GO:0019323)	6	4	1.99	+	2.01	1.40E-01
GTP metabolic process (GO:0046039)	3	2	.99	+	2.01	2.62E-01
retrograde protein transport, ER to cytosol (GO:0030970)	3	2	.99	+	2.01	2.62E-01
histone catabolic process (GO:0036205)	3	2	.99	+	2.01	2.62E-01
mycotoxin biosynthetic process (GO:0043386)	6	4	1.99	+	2.01	1.40E-01
mycotoxin metabolic process (GO:0043385)	6	4	1.99	+	2.01	1.40E-01
mitochondrial pyruvate transmembrane transport (GO:0006850)	3	2	.99	+	2.01	2.62E-01
pyruvate transport (GO:0006848)	3	2	.99	+	2.01	2.62E-01
sodium ion transmembrane transport (GO:0035725)	3	2	.99	+	2.01	2.62E-01
copper ion transport (GO:0006825)	9	6	2.98	+	2.01	8.16E-02
sodium ion transport (GO:0006814)	3	2	.99	+	2.01	2.62E-01
pyruvate transmembrane transport (GO:1901475)	3	2	.99	+	2.01	2.62E-01
toxin metabolic process (GO:0009404)	6	4	1.99	+	2.01	1.40E-01
toxin biosynthetic process (GO:0009403)	6	4	1.99	+	2.01	1.40E-01
2-oxoglutarate metabolic process (GO:0006103)	3	2	.99	+	2.01	2.62E-01
histone ubiquitination (GO:0016574)	6	4	1.99	+	2.01	1.40E-01
lipoprotein catabolic process (GO:0042159)	3	2	.99	+	2.01	2.62E-01
glutathione biosynthetic process (GO:0006750)	3	2	.99	+	2.01	2.62E-01
endoplasmic reticulum membrane organization (GO:0090158)	3	2	.99	+	2.01	2.62E-01
NADP biosynthetic process (GO:0006741)	3	2	.99	+	2.01	2.62E-01
protein localization to cell division site (GO:0072741)	3	2	.99	+	2.01	2.62E-01
protein-DNA complex disassembly (GO:0032986)	3	2	.99	+	2.01	2.62E-01
protein K63-linked ubiquitination (GO:0070534)	3	2	.99	+	2.01	2.62E-01
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	6	4	1.99	+	2.01	1.40E-01
protein insertion into membrane from inner side (GO:0032978)	6	4	1.99	+	2.01	1.40E-01
endoplasmic reticulum to cytosol transport (GO:1903513)	3	2	.99	+	2.01	2.62E-01
peptidyl-lysine dimethylation (GO:0018027)	3	2	.99	+	2.01	2.62E-01
lactate metabolic process (GO:0006089)	6	4	1.99	+	2.01	1.40E-01
mannoprotein biosynthetic process (GO:0006057)	12	8	3.97	+	2.01	4.93E-02
mannoprotein metabolic process (GO:0006056)	12	8	3.97	+	2.01	4.93E-02
L-proline biosynthetic process (GO:0055129)	3	2	.99	+	2.01	2.62E-01
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	3	2	.99	+	2.01	2.62E-01
putrescine biosynthetic process from arginine (GO:0033388)	3	2	.99	+	2.01	2.62E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	9	6	2.98	+	2.01	8.16E-02
positive regulation of microtubule polymerization (GO:0031116)	3	2	.99	+	2.01	2.62E-01
regulation of microtubule polymerization (GO:0031113)	3	2	.99	+	2.01	2.62E-01
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	3	2	.99	+	2.01	2.62E-01
septin ring organization (GO:0031106)	3	2	.99	+	2.01	2.62E-01
cell wall mannoprotein biosynthetic process (GO:0000032)	12	8	3.97	+	2.01	4.93E-02
lactate catabolic process (GO:1903457)	3	2	.99	+	2.01	2.62E-01
negative regulation of DNA recombination (GO:0045910)	3	2	.99	+	2.01	2.62E-01
spindle pole body organization (GO:0051300)	6	4	1.99	+	2.01	1.40E-01
amino acid import (GO:0043090)	3	2	.99	+	2.01	2.62E-01
polyamine biosynthetic process (GO:0006596)	6	4	1.99	+	2.01	1.40E-01
polyamine metabolic process (GO:0006595)	6	4	1.99	+	2.01	1.40E-01
amino-acid betaine metabolic process (GO:0006577)	6	4	1.99	+	2.01	1.40E-01
leucine catabolic process (GO:0006552)	3	2	.99	+	2.01	2.62E-01
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	20	13	6.62	+	1.96	1.81E-02
arginine metabolic process (GO:0006525)	14	9	4.63	+	1.94	4.66E-02
oligopeptide transport (GO:0006857)	11	7	3.64	+	1.92	7.65E-02
oligopeptide transmembrane transport (GO:0035672)	11	7	3.64	+	1.92	7.65E-02
protein import into mitochondrial matrix (GO:0030150)	16	10	5.29	+	1.89	4.36E-02
phospholipid catabolic process (GO:0009395)	8	5	2.65	+	1.89	1.29E-01
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	21	13	6.95	+	1.87	2.55E-02
sulfur compound transport (GO:0072348)	13	8	4.30	+	1.86	7.10E-02
ceramide metabolic process (GO:0006672)	13	8	4.30	+	1.86	7.10E-02
maturation of LSU-rRNA (GO:0000470)	31	19	10.26	+	1.85	9.10E-03
iron-sulfur cluster assembly (GO:0016226)	18	11	5.96	+	1.85	4.07E-02
ribosome localization (GO:0033750)	18	11	5.96	+	1.85	4.07E-02
metallo-sulfur cluster assembly (GO:0031163)	18	11	5.96	+	1.85	4.07E-02
ribosomal subunit export from nucleus (GO:0000054)	18	11	5.96	+	1.85	4.07E-02
