




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (1959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
peptidyl-lysine propionylation (GO:0061921)	1	1	.12	+	8.30	1.14E-01
positive regulation of phagosome maturation (GO:1905164)	1	1	.12	+	8.30	1.14E-01
enteric smooth muscle cell differentiation (GO:0035645)	1	1	.12	+	8.30	1.14E-01
pseudopodium assembly (GO:0031269)	1	1	.12	+	8.30	1.14E-01
D-serine catabolic process (GO:0036088)	1	1	.12	+	8.30	1.14E-01
negative regulation of RNA-directed 5'-3' RNA polymerase activity (GO:1900260)	1	1	.12	+	8.30	1.14E-01
regulation of RNA-directed 5'-3' RNA polymerase activity (GO:1900259)	1	1	.12	+	8.30	1.14E-01
electron transport coupled proton transport (GO:0015990)	1	1	.12	+	8.30	1.14E-01
regulation of pronephros size (GO:0035565)	1	1	.12	+	8.30	1.14E-01
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	1	1	.12	+	8.30	1.14E-01
D-alanine catabolic process (GO:0055130)	1	1	.12	+	8.30	1.14E-01
short-chain fatty acid import (GO:0015913)	1	1	.12	+	8.30	1.14E-01
pyrimidine ribonucleoside triphosphate catabolic process (GO:0009210)	1	1	.12	+	8.30	1.14E-01
regulation of cardioblast cell fate specification (GO:0042686)	1	1	.12	+	8.30	1.14E-01
positive regulation of cell fate specification (GO:0042660)	2	2	.24	+	8.30	2.48E-02
positive regulation of telomeric loop disassembly (GO:1904535)	1	1	.12	+	8.30	1.14E-01
mating plug formation (GO:0042628)	1	1	.12	+	8.30	1.14E-01
beta-lactam antibiotic metabolic process (GO:0030653)	1	1	.12	+	8.30	1.14E-01
positive regulation of phospholipid scramblase activity (GO:1900163)	1	1	.12	+	8.30	1.14E-01
regulation of phospholipid scramblase activity (GO:1900161)	1	1	.12	+	8.30	1.14E-01
regulation of heart induction by canonical Wnt signaling pathway (GO:0100012)	1	1	.12	+	8.30	1.14E-01
leukocyte adhesion to arterial endothelial cell (GO:0061757)	1	1	.12	+	8.30	1.14E-01
anastral spindle assembly (GO:0055048)	1	1	.12	+	8.30	1.14E-01
valine transport (GO:0015829)	1	1	.12	+	8.30	1.14E-01
isoleucine transport (GO:0015818)	1	1	.12	+	8.30	1.14E-01
negative regulation of hemoglobin biosynthetic process (GO:0046986)	1	1	.12	+	8.30	1.14E-01
fatty acid primary amide metabolic process (GO:0062126)	1	1	.12	+	8.30	1.14E-01
fatty acid primary amide biosynthetic process (GO:0062112)	1	1	.12	+	8.30	1.14E-01
regulation of D-erythro-sphingosine kinase activity (GO:1900022)	1	1	.12	+	8.30	1.14E-01
peptidyl-lysine modification to peptidyl-hypusine (GO:0008612)	2	2	.24	+	8.30	2.48E-02
carbon dioxide transmembrane transport (GO:0035378)	1	1	.12	+	8.30	1.14E-01
cellular response to bisphenol A (GO:1903926)	1	1	.12	+	8.30	1.14E-01
response to bisphenol A (GO:1903925)	1	1	.12	+	8.30	1.14E-01
bilirubin transport (GO:0015723)	1	1	.12	+	8.30	1.14E-01
adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate (GO:0086024)	1	1	.12	+	8.30	1.14E-01
positive regulation of protein localization to actin cortical patch (GO:1904372)	1	1	.12	+	8.30	1.14E-01
regulation of protein localization to actin cortical patch (GO:1904370)	1	1	.12	+	8.30	1.14E-01
vacuole fusion (GO:0097576)	1	1	.12	+	8.30	1.14E-01
arginine biosynthetic process via ornithine (GO:0042450)	2	2	.24	+	8.30	2.48E-02
colon epithelial cell migration (GO:0061580)	1	1	.12	+	8.30	1.14E-01
DNA-templated viral transcription (GO:0039695)	1	1	.12	+	8.30	1.14E-01
carotene catabolic process (GO:0016121)	1	1	.12	+	8.30	1.14E-01
carotene metabolic process (GO:0016119)	1	1	.12	+	8.30	1.14E-01
fusion of virus membrane with host endosome membrane (GO:0039654)	1	1	.12	+	8.30	1.14E-01
suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process (GO:0039650)	1	1	.12	+	8.30	1.14E-01
mercury ion transport (GO:0015694)	1	1	.12	+	8.30	1.14E-01
L-isoleucine import across plasma membrane (GO:1903806)	1	1	.12	+	8.30	1.14E-01
positive regulation of arginase activity (GO:0150072)	1	1	.12	+	8.30	1.14E-01
regulation of arginase activity (GO:0150070)	1	1	.12	+	8.30	1.14E-01
histone H4-K20 dimethylation (GO:0034772)	1	1	.12	+	8.30	1.14E-01
negative regulation of neuron projection arborization (GO:0150013)	1	1	.12	+	8.30	1.14E-01
positive regulation of Schwann cell chemotaxis (GO:1904268)	1	1	.12	+	8.30	1.14E-01
regulation of Schwann cell chemotaxis (GO:1904266)	1	1	.12	+	8.30	1.14E-01
negative regulation of polynucleotide adenylyltransferase activity (GO:1904246)	1	1	.12	+	8.30	1.14E-01
negative regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly (GO:1904240)	1	1	.12	+	8.30	1.14E-01
regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly (GO:1904239)	1	1	.12	+	8.30	1.14E-01
penicillin metabolic process (GO:0042316)	1	1	.12	+	8.30	1.14E-01
cellular response to raffinose (GO:0097403)	1	1	.12	+	8.30	1.14E-01
meiotic DNA double-strand break processing involved in reciprocal meiotic recombination (GO:0010705)	2	2	.24	+	8.30	2.48E-02
negative regulation of cardiac conduction (GO:1903780)	1	1	.12	+	8.30	1.14E-01
protein localization to vacuolar membrane (GO:1903778)	1	1	.12	+	8.30	1.14E-01
modulation by virus of host catalytic activity (GO:0039516)	1	1	.12	+	8.30	1.14E-01
suppression by virus of host catalytic activity (GO:0039513)	1	1	.12	+	8.30	1.14E-01
isoleucine transmembrane transport (GO:1903714)	1	1	.12	+	8.30	1.14E-01
regulation of transcription from RNA polymerase II promoter involved in kidney development (GO:0060994)	1	1	.12	+	8.30	1.14E-01
lipid tube assembly involved in organelle fusion (GO:0060989)	1	1	.12	+	8.30	1.14E-01
regulation of hair cycle by canonical Wnt signaling pathway (GO:0060901)	1	1	.12	+	8.30	1.14E-01
peptidyl-aspartic acid hydroxylation (GO:0042264)	1	1	.12	+	8.30	1.14E-01
establishment of mitochondrion localization by microtubule attachment (GO:0034640)	1	1	.12	+	8.30	1.14E-01
negative regulation of microglial cell migration (GO:1904140)	1	1	.12	+	8.30	1.14E-01
1-aminocyclopropane-1-carboxylate biosynthetic process (GO:0042218)	1	1	.12	+	8.30	1.14E-01
protein localization to microvillus (GO:1904106)	2	2	.24	+	8.30	2.48E-02
positive regulation of Schwann cell proliferation (GO:0010625)	1	1	.12	+	8.30	1.14E-01
canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:0061317)	2	2	.24	+	8.30	2.48E-02
semicircular canal fusion (GO:0060879)	1	1	.12	+	8.30	1.14E-01
establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis (GO:0003412)	1	1	.12	+	8.30	1.14E-01
optic cup structural organization (GO:0003409)	1	1	.12	+	8.30	1.14E-01
renal phosphate ion absorption (GO:0097291)	1	1	.12	+	8.30	1.14E-01
positive regulation of Wnt signaling pathway by BMP signaling pathway (GO:0060804)	1	1	.12	+	8.30	1.14E-01
cellular urea homeostasis (GO:0097277)	1	1	.12	+	8.30	1.14E-01
cellular creatinine homeostasis (GO:0097276)	1	1	.12	+	8.30	1.14E-01
cellular ammonium homeostasis (GO:0097275)	1	1	.12	+	8.30	1.14E-01
ammonium homeostasis (GO:0097272)	2	2	.24	+	8.30	2.48E-02
vacuole fusion, non-autophagic (GO:0042144)	1	1	.12	+	8.30	1.14E-01
negative regulation of cystathionine beta-synthase activity (GO:1904042)	1	1	.12	+	8.30	1.14E-01
regulation of cystathionine beta-synthase activity (GO:1904041)	1	1	.12	+	8.30	1.14E-01
tRNA N2-guanine methylation (GO:0002940)	1	1	.12	+	8.30	1.14E-01
mesenchymal smoothened signaling pathway involved in prostate gland development (GO:0060783)	1	1	.12	+	8.30	1.14E-01
regulation of mesenchymal cell proliferation involved in prostate gland development (GO:0060782)	1	1	.12	+	8.30	1.14E-01
lamellipodium assembly involved in ameboidal cell migration (GO:0003363)	1	1	.12	+	8.30	1.14E-01
nicotinamide riboside metabolic process (GO:0046495)	1	1	.12	+	8.30	1.14E-01
septum transversum development (GO:0003343)	1	1	.12	+	8.30	1.14E-01
proepicardium development (GO:0003342)	1	1	.12	+	8.30	1.14E-01
cellular response to sodium dodecyl sulfate (GO:0072707)	1	1	.12	+	8.30	1.14E-01
response to sodium dodecyl sulfate (GO:0072706)	1	1	.12	+	8.30	1.14E-01
regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation (GO:0060734)	1	1	.12	+	8.30	1.14E-01
D-alanine metabolic process (GO:0046436)	1	1	.12	+	8.30	1.14E-01
dentin mineralization (GO:0097188)	1	1	.12	+	8.30	1.14E-01
cellular response to azide (GO:0097185)	1	1	.12	+	8.30	1.14E-01
response to azide (GO:0097184)	1	1	.12	+	8.30	1.14E-01
growth factor dependent regulation of skeletal muscle satellite cell proliferation (GO:0014843)	1	1	.12	+	8.30	1.14E-01
negative regulation of translational initiation by iron (GO:0045993)	1	1	.12	+	8.30	1.14E-01
taste bud development (GO:0061193)	1	1	.12	+	8.30	1.14E-01
regulation of sclerotome development (GO:0061190)	1	1	.12	+	8.30	1.14E-01
positive regulation of sclerotome development (GO:0061189)	1	1	.12	+	8.30	1.14E-01
lung proximal/distal axis specification (GO:0061115)	1	1	.12	+	8.30	1.14E-01
response to lipoic acid (GO:1903442)	1	1	.12	+	8.30	1.14E-01
seminal vesicle epithelium development (GO:0061108)	1	1	.12	+	8.30	1.14E-01
negative regulation of cholesterol transporter activity (GO:0060695)	1	1	.12	+	8.30	1.14E-01
post-embryonic cardiac muscle cell growth involved in heart morphogenesis (GO:0003247)	1	1	.12	+	8.30	1.14E-01
CMP-N-acetylneuraminate metabolic process (GO:0046381)	1	1	.12	+	8.30	1.14E-01
plasma membrane selenite transport (GO:0097080)	1	1	.12	+	8.30	1.14E-01
positive regulation of melanosome transport (GO:1902910)	1	1	.12	+	8.30	1.14E-01
regulation of melanosome transport (GO:1902908)	1	1	.12	+	8.30	1.14E-01
dendritic cell dendrite assembly (GO:0097026)	1	1	.12	+	8.30	1.14E-01
sensory organ boundary specification (GO:0008052)	1	1	.12	+	8.30	1.14E-01
positive regulation of synaptic assembly at neuromuscular junction (GO:0045887)	1	1	.12	+	8.30	1.14E-01
maintenance of symbiont-containing vacuole by host (GO:0085018)	1	1	.12	+	8.30	1.14E-01
Wnt signaling pathway involved in forebrain neuroblast division (GO:0021874)	1	1	.12	+	8.30	1.14E-01
positive regulation of iron-sulfur cluster assembly (GO:1903331)	1	1	.12	+	8.30	1.14E-01
regulation of iron-sulfur cluster assembly (GO:1903329)	1	1	.12	+	8.30	1.14E-01
extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration (GO:0021816)	1	1	.12	+	8.30	1.14E-01
glycolate biosynthetic process (GO:0046295)	1	1	.12	+	8.30	1.14E-01
positive regulation of fructose 1,6-bisphosphate metabolic process (GO:0060552)	1	1	.12	+	8.30	1.14E-01
regulation of fructose 1,6-bisphosphate metabolic process (GO:0060551)	1	1	.12	+	8.30	1.14E-01
positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity (GO:0060550)	1	1	.12	+	8.30	1.14E-01
negative regulation of heart induction by canonical Wnt signaling pathway (GO:0003136)	1	1	.12	+	8.30	1.14E-01
regulation of fructose 1,6-bisphosphate 1-phosphatase activity (GO:0060549)	1	1	.12	+	8.30	1.14E-01
terpene catabolic process (GO:0046247)	1	1	.12	+	8.30	1.14E-01
positive regulation of mitotic spindle elongation (GO:1902846)	1	1	.12	+	8.30	1.14E-01
cellular response to zinc ion starvation (GO:0034224)	1	1	.12	+	8.30	1.14E-01
myeloid cell apoptotic process (GO:0033028)	4	3	.48	+	6.22	1.31E-02
glycine decarboxylation via glycine cleavage system (GO:0019464)	3	2	.36	+	5.53	5.16E-02
bud outgrowth involved in lung branching (GO:0060447)	3	2	.36	+	5.53	5.16E-02
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response (GO:0006990)	3	2	.36	+	5.53	5.16E-02
negative regulation of integrin activation (GO:0033624)	3	2	.36	+	5.53	5.16E-02
thorax and anterior abdomen determination (GO:0007356)	3	2	.36	+	5.53	5.16E-02
negative regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903070)	3	2	.36	+	5.53	5.16E-02
positive regulation of hh target transcription factor activity (GO:0007228)	3	2	.36	+	5.53	5.16E-02
signal transduction downstream of smoothened (GO:0007227)	3	2	.36	+	5.53	5.16E-02
phospholipase C-activating serotonin receptor signaling pathway (GO:0007208)	3	2	.36	+	5.53	5.16E-02
eye pigment biosynthetic process (GO:0006726)	3	2	.36	+	5.53	5.16E-02
regulation of mesenchymal cell proliferation involved in ureter development (GO:0072199)	3	2	.36	+	5.53	5.16E-02
positive regulation of mesenchymal stem cell proliferation (GO:1902462)	3	2	.36	+	5.53	5.16E-02
regulation of mesenchymal stem cell proliferation (GO:1902460)	3	2	.36	+	5.53	5.16E-02
corticotropin hormone secreting cell differentiation (GO:0060128)	3	2	.36	+	5.53	5.16E-02
cerebrospinal fluid secretion (GO:0033326)	3	2	.36	+	5.53	5.16E-02
male meiosis chromosome segregation (GO:0007060)	3	2	.36	+	5.53	5.16E-02
regulation of dendritic cell dendrite assembly (GO:2000547)	3	2	.36	+	5.53	5.16E-02
glycine catabolic process (GO:0006546)	3	2	.36	+	5.53	5.16E-02
thyroid hormone mediated signaling pathway (GO:0002154)	3	2	.36	+	5.53	5.16E-02
bile acid secretion (GO:0032782)	3	2	.36	+	5.53	5.16E-02
regulation of positive thymic T cell selection (GO:1902232)	3	2	.36	+	5.53	5.16E-02
negative regulation of macrophage colony-stimulating factor signaling pathway (GO:1902227)	3	2	.36	+	5.53	5.16E-02
regulation of tumor necrosis factor (ligand) superfamily member 11 production (GO:2000307)	3	2	.36	+	5.53	5.16E-02
meiotic gene conversion (GO:0006311)	3	2	.36	+	5.53	5.16E-02
regulation of translation at postsynapse (GO:0140245)	3	2	.36	+	5.53	5.16E-02
maintenance of Golgi location (GO:0051684)	3	2	.36	+	5.53	5.16E-02
regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578)	3	2	.36	+	5.53	5.16E-02
meiotic DNA double-strand break processing (GO:0000706)	3	2	.36	+	5.53	5.16E-02
cartilage homeostasis (GO:1990079)	3	2	.36	+	5.53	5.16E-02
establishment or maintenance of actin cytoskeleton polarity (GO:0030950)	3	2	.36	+	5.53	5.16E-02
9-cis-retinoic acid metabolic process (GO:0042905)	3	2	.36	+	5.53	5.16E-02
9-cis-retinoic acid biosynthetic process (GO:0042904)	3	2	.36	+	5.53	5.16E-02
natural killer cell chemotaxis (GO:0035747)	3	2	.36	+	5.53	5.16E-02
response to 3,3',5-triiodo-L-thyronine (GO:1905242)	3	2	.36	+	5.53	5.16E-02
pigment metabolic process involved in developmental pigmentation (GO:0043324)	3	2	.36	+	5.53	5.16E-02
putrescine catabolic process (GO:0009447)	3	2	.36	+	5.53	5.16E-02
positive regulation of intracellular mRNA localization (GO:1904582)	3	2	.36	+	5.53	5.16E-02
regulation of intracellular mRNA localization (GO:1904580)	3	2	.36	+	5.53	5.16E-02
regulation of telomeric loop disassembly (GO:1904533)	3	2	.36	+	5.53	5.16E-02
response to 17alpha-ethynylestradiol (GO:1904486)	3	2	.36	+	5.53	5.16E-02
canalicular bile acid transport (GO:0015722)	3	2	.36	+	5.53	5.16E-02
eye pigment metabolic process (GO:0042441)	3	2	.36	+	5.53	5.16E-02
negative regulation of dopaminergic neuron differentiation (GO:1904339)	3	2	.36	+	5.53	5.16E-02
cuticle development (GO:0042335)	3	2	.36	+	5.53	5.16E-02
drug export (GO:0046618)	3	2	.36	+	5.53	5.16E-02
canonical Wnt signaling pathway involved in heart development (GO:0061316)	3	2	.36	+	5.53	5.16E-02
positive regulation of phosphatidylinositol biosynthetic process (GO:0010513)	3	2	.36	+	5.53	5.16E-02
positive regulation of translational fidelity (GO:0045903)	3	2	.36	+	5.53	5.16E-02
positive regulation of P-type sodium:potassium-exchanging transporter activity (GO:1903408)	3	2	.36	+	5.53	5.16E-02
regulation of P-type sodium:potassium-exchanging transporter activity (GO:1903406)	3	2	.36	+	5.53	5.16E-02
regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling (GO:0060665)	3	2	.36	+	5.53	5.16E-02
protein linear polyubiquitination (GO:0097039)	3	2	.36	+	5.53	5.16E-02
secretion by lung epithelial cell involved in lung growth (GO:0061033)	3	2	.36	+	5.53	5.16E-02
inflammatory cell apoptotic process (GO:0006925)	5	3	.60	+	4.98	2.34E-02
positive regulation of natural killer cell chemotaxis (GO:2000503)	5	3	.60	+	4.98	2.34E-02
regulation of binding of sperm to zona pellucida (GO:2000359)	5	3	.60	+	4.98	2.34E-02
citrate metabolic process (GO:0006101)	5	3	.60	+	4.98	2.34E-02
sensory perception of sour taste (GO:0050915)	5	3	.60	+	4.98	2.34E-02
regulation of bile acid secretion (GO:0120188)	5	3	.60	+	4.98	2.34E-02
brush border assembly (GO:1904970)	5	3	.60	+	4.98	2.34E-02
cobalamin transport (GO:0015889)	5	3	.60	+	4.98	2.34E-02
regulation of saliva secretion (GO:0046877)	5	3	.60	+	4.98	2.34E-02
smoothened signaling pathway involved in regulation of cerebellar granule cell precursor cell proliferation (GO:0021938)	5	3	.60	+	4.98	2.34E-02
regulation of natural killer cell chemotaxis (GO:2000501)	7	4	.84	+	4.74	1.08E-02
tripeptide transmembrane transport (GO:0035443)	7	4	.84	+	4.74	1.08E-02
nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)	7	4	.84	+	4.74	1.08E-02
vascular endothelial growth factor production (GO:0010573)	7	4	.84	+	4.74	1.08E-02
tripeptide transport (GO:0042939)	9	5	1.08	+	4.61	5.12E-03
SCF complex assembly (GO:0010265)	6	3	.72	+	4.15	3.70E-02
negative regulation of hydrogen peroxide-induced neuron death (GO:1903208)	6	3	.72	+	4.15	3.70E-02
regulation of hydrogen peroxide-induced neuron death (GO:1903207)	6	3	.72	+	4.15	3.70E-02
heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)	6	3	.72	+	4.15	3.70E-02
leukotriene transport (GO:0071716)	6	3	.72	+	4.15	3.70E-02
negative regulation of transforming growth factor beta1 production (GO:0032911)	6	3	.72	+	4.15	3.70E-02
xenobiotic transport across blood-brain barrier (GO:1990962)	6	3	.72	+	4.15	3.70E-02
regulation of keratinocyte apoptotic process (GO:1902172)	6	3	.72	+	4.15	3.70E-02
chiasma assembly (GO:0051026)	6	3	.72	+	4.15	3.70E-02
positive regulation of protein localization to cell cortex (GO:1904778)	6	3	.72	+	4.15	3.70E-02
glutathione transmembrane transport (GO:0034775)	6	3	.72	+	4.15	3.70E-02
positive regulation of nuclear cell cycle DNA replication (GO:0010571)	6	3	.72	+	4.15	3.70E-02
positive regulation of chronic inflammatory response (GO:0002678)	2	1	.24	+	4.15	2.14E-01
negative regulation of intestinal cholesterol absorption (GO:0045796)	2	1	.24	+	4.15	2.14E-01
positive regulation of calcium:sodium antiporter activity (GO:1903281)	2	1	.24	+	4.15	2.14E-01
beta-alanine biosynthetic process (GO:0019483)	2	1	.24	+	4.15	2.14E-01
D-amino acid catabolic process (GO:0019478)	2	1	.24	+	4.15	2.14E-01
posterior midgut development (GO:0007497)	2	1	.24	+	4.15	2.14E-01
pronephric nephron tubule development (GO:0039020)	2	1	.24	+	4.15	2.14E-01
cell-cell signaling involved in lung development (GO:0060495)	2	1	.24	+	4.15	2.14E-01
ventral midline development (GO:0007418)	4	2	.48	+	4.15	8.48E-02
cortical granule exocytosis (GO:0060471)	2	1	.24	+	4.15	2.14E-01
ganglion mother cell fate determination (GO:0007402)	2	1	.24	+	4.15	2.14E-01
left lung development (GO:0060459)	2	1	.24	+	4.15	2.14E-01
right lung development (GO:0060458)	2	1	.24	+	4.15	2.14E-01
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	2	1	.24	+	4.15	2.14E-01
negative regulation of sterol import (GO:2000910)	2	1	.24	+	4.15	2.14E-01
positive regulation of vitamin metabolic process (GO:0046136)	4	2	.48	+	4.15	8.48E-02
negative regulation of chondrocyte proliferation (GO:1902731)	4	2	.48	+	4.15	8.48E-02
leukotriene production involved in inflammatory response (GO:0002540)	2	1	.24	+	4.15	2.14E-01
arachidonic acid metabolite production involved in inflammatory response (GO:0002538)	2	1	.24	+	4.15	2.14E-01
negative regulation of megakaryocyte differentiation (GO:0045653)	4	2	.48	+	4.15	8.48E-02
fatty alcohol metabolic process (GO:1903173)	2	1	.24	+	4.15	2.14E-01
rhombomere 3 morphogenesis (GO:0021658)	2	1	.24	+	4.15	2.14E-01
cysteine biosynthetic process (GO:0019344)	2	1	.24	+	4.15	2.14E-01
